,Marks,State,City,Center Code
0,46.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
1,185.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
2,111.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
3,86.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
4,84.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
5,141.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
6,69.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
7,472.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
8,79.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
9,279.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
10,226.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
11,170.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
12,238.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
13,109.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
14,87.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
15,117.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
16,421.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
17,73.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
18,365.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
19,162.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
20,449.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
21,511.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
22,372.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
23,127.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
24,167.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
25,93.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
26,91.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
27,64.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
28,40.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
29,163.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
30,424.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
31,58.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
32,219.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
33,288.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
34,278.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
35,62.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
36,198.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
37,246.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
38,224.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
39,172.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
40,222.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
41,71.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
42,215.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
43,138.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
44,160.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
45,511.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
46,231.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
47,140.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
48,70.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
49,305.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
50,181.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
51,76.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
52,218.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
53,167.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
54,331.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
55,58.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
56,257.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
57,480.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
58,451.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
59,130.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
60,115.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
61,169.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
62,387.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
63,133.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
64,85.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
65,520.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
66,131.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
67,87.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
68,127.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
69,113.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
70,127.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
71,559.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
72,137.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
73,135.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
74,227.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
75,157.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
76,233.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
77,215.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
78,203.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
79,100.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
80,88.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
81,214.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
82,226.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
83,335.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
84,130.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
85,125.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
86,112.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
87,71.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
88,238.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
89,151.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
90,77.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
91,35.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
92,64.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
93,374.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
94,310.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
95,340.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
96,92.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
97,26.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
98,89.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
99,94.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
100,322.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
101,580.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
102,154.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
103,5.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
104,110.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
105,228.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
106,215.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
107,132.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
108,60.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
109,281.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
110,434.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
111,177.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
112,130.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
113,134.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
114,346.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
115,106.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
116,184.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
117,108.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
118,349.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
119,99.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
120,101.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
121,483.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
122,125.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
123,58.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
124,106.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
125,100.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
126,450.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
127,78.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
128,79.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
129,126.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
130,155.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
131,109.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
132,224.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
133,231.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
134,330.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
135,318.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
136,66.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
137,121.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
138,331.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
139,199.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
140,134.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
141,108.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
142,72.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
143,579.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
144,110.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
145,89.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
146,45.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
147,179.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
148,124.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
149,124.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
150,58.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
151,140.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
152,195.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
153,171.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
154,504.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
155,130.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
156,140.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
157,478.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
158,165.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
159,201.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
160,222.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
161,80.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
162,260.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
163,154.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
164,71.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
165,137.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
166,231.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
167,202.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
168,95.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
169,301.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
170,133.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
171,216.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
172,188.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
173,168.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
174,75.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
175,90.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
176,152.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
177,100.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
178,391.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
179,75.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
180,184.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
181,203.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
182,44.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
183,179.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
184,111.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
185,77.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
186,197.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
187,125.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
188,540.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
189,144.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
190,104.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
191,84.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
192,18.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
193,298.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
194,219.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
195,50.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
196,33.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
197,193.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
198,139.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
199,158.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
200,209.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
201,40.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
202,320.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
203,45.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
204,-5.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
205,378.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
206,179.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
207,25.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
208,142.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
209,277.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
210,148.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
211,104.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
212,99.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
213,323.0,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101
