,Marks,State,City,Center Code
64403,376.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64404,21.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64405,109.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64406,135.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64407,76.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64408,78.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64409,113.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64410,77.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64411,392.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64412,199.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64413,129.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64414,74.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64415,289.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64416,130.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64417,220.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64418,87.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64419,112.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64420,80.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64421,131.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64422,88.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64423,41.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64424,344.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64425,110.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64426,144.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64427,223.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64428,136.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64429,221.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64430,166.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64431,185.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64432,183.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64433,165.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64434,271.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64435,283.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64436,53.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64437,272.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64438,200.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64439,302.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64440,65.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64441,131.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64442,170.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64443,139.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64444,201.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
64445,136.0,ARUNACHAL PRADESH,ITANAGARNAHARLAGUN,130101
