,Marks,State,City,Center Code
69153,214.0,ASSAM,DIBRUGARH,140101
69154,140.0,ASSAM,DIBRUGARH,140101
69155,299.0,ASSAM,DIBRUGARH,140101
69156,55.0,ASSAM,DIBRUGARH,140101
69157,235.0,ASSAM,DIBRUGARH,140101
69158,237.0,ASSAM,DIBRUGARH,140101
69159,60.0,ASSAM,DIBRUGARH,140101
69160,78.0,ASSAM,DIBRUGARH,140101
69161,405.0,ASSAM,DIBRUGARH,140101
69162,93.0,ASSAM,DIBRUGARH,140101
69163,283.0,ASSAM,DIBRUGARH,140101
69164,26.0,ASSAM,DIBRUGARH,140101
69165,120.0,ASSAM,DIBRUGARH,140101
69166,126.0,ASSAM,DIBRUGARH,140101
69167,353.0,ASSAM,DIBRUGARH,140101
69168,213.0,ASSAM,DIBRUGARH,140101
69169,46.0,ASSAM,DIBRUGARH,140101
69170,18.0,ASSAM,DIBRUGARH,140101
69171,70.0,ASSAM,DIBRUGARH,140101
69172,153.0,ASSAM,DIBRUGARH,140101
69173,451.0,ASSAM,DIBRUGARH,140101
69174,145.0,ASSAM,DIBRUGARH,140101
69175,100.0,ASSAM,DIBRUGARH,140101
69176,259.0,ASSAM,DIBRUGARH,140101
69177,65.0,ASSAM,DIBRUGARH,140101
69178,99.0,ASSAM,DIBRUGARH,140101
69179,451.0,ASSAM,DIBRUGARH,140101
69180,71.0,ASSAM,DIBRUGARH,140101
69181,79.0,ASSAM,DIBRUGARH,140101
69182,211.0,ASSAM,DIBRUGARH,140101
69183,207.0,ASSAM,DIBRUGARH,140101
69184,103.0,ASSAM,DIBRUGARH,140101
69185,515.0,ASSAM,DIBRUGARH,140101
69186,151.0,ASSAM,DIBRUGARH,140101
69187,187.0,ASSAM,DIBRUGARH,140101
69188,40.0,ASSAM,DIBRUGARH,140101
69189,53.0,ASSAM,DIBRUGARH,140101
69190,123.0,ASSAM,DIBRUGARH,140101
69191,168.0,ASSAM,DIBRUGARH,140101
69192,74.0,ASSAM,DIBRUGARH,140101
69193,126.0,ASSAM,DIBRUGARH,140101
69194,437.0,ASSAM,DIBRUGARH,140101
69195,11.0,ASSAM,DIBRUGARH,140101
69196,71.0,ASSAM,DIBRUGARH,140101
69197,421.0,ASSAM,DIBRUGARH,140101
69198,229.0,ASSAM,DIBRUGARH,140101
69199,76.0,ASSAM,DIBRUGARH,140101
69200,217.0,ASSAM,DIBRUGARH,140101
69201,-5.0,ASSAM,DIBRUGARH,140101
69202,47.0,ASSAM,DIBRUGARH,140101
69203,74.0,ASSAM,DIBRUGARH,140101
69204,92.0,ASSAM,DIBRUGARH,140101
69205,320.0,ASSAM,DIBRUGARH,140101
69206,44.0,ASSAM,DIBRUGARH,140101
69207,110.0,ASSAM,DIBRUGARH,140101
69208,154.0,ASSAM,DIBRUGARH,140101
69209,220.0,ASSAM,DIBRUGARH,140101
69210,239.0,ASSAM,DIBRUGARH,140101
69211,131.0,ASSAM,DIBRUGARH,140101
69212,225.0,ASSAM,DIBRUGARH,140101
69213,700.0,ASSAM,DIBRUGARH,140101
69214,405.0,ASSAM,DIBRUGARH,140101
69215,227.0,ASSAM,DIBRUGARH,140101
69216,329.0,ASSAM,DIBRUGARH,140101
69217,144.0,ASSAM,DIBRUGARH,140101
69218,181.0,ASSAM,DIBRUGARH,140101
69219,342.0,ASSAM,DIBRUGARH,140101
69220,271.0,ASSAM,DIBRUGARH,140101
69221,179.0,ASSAM,DIBRUGARH,140101
69222,314.0,ASSAM,DIBRUGARH,140101
69223,96.0,ASSAM,DIBRUGARH,140101
69224,262.0,ASSAM,DIBRUGARH,140101
69225,190.0,ASSAM,DIBRUGARH,140101
69226,26.0,ASSAM,DIBRUGARH,140101
69227,99.0,ASSAM,DIBRUGARH,140101
69228,150.0,ASSAM,DIBRUGARH,140101
69229,178.0,ASSAM,DIBRUGARH,140101
69230,144.0,ASSAM,DIBRUGARH,140101
69231,90.0,ASSAM,DIBRUGARH,140101
69232,136.0,ASSAM,DIBRUGARH,140101
69233,325.0,ASSAM,DIBRUGARH,140101
69234,280.0,ASSAM,DIBRUGARH,140101
69235,-5.0,ASSAM,DIBRUGARH,140101
69236,16.0,ASSAM,DIBRUGARH,140101
69237,114.0,ASSAM,DIBRUGARH,140101
69238,107.0,ASSAM,DIBRUGARH,140101
69239,65.0,ASSAM,DIBRUGARH,140101
69240,86.0,ASSAM,DIBRUGARH,140101
69241,184.0,ASSAM,DIBRUGARH,140101
69242,30.0,ASSAM,DIBRUGARH,140101
69243,38.0,ASSAM,DIBRUGARH,140101
69244,46.0,ASSAM,DIBRUGARH,140101
69245,45.0,ASSAM,DIBRUGARH,140101
69246,105.0,ASSAM,DIBRUGARH,140101
69247,316.0,ASSAM,DIBRUGARH,140101
69248,315.0,ASSAM,DIBRUGARH,140101
69249,328.0,ASSAM,DIBRUGARH,140101
69250,71.0,ASSAM,DIBRUGARH,140101
69251,271.0,ASSAM,DIBRUGARH,140101
69252,163.0,ASSAM,DIBRUGARH,140101
69253,186.0,ASSAM,DIBRUGARH,140101
69254,103.0,ASSAM,DIBRUGARH,140101
69255,61.0,ASSAM,DIBRUGARH,140101
69256,675.0,ASSAM,DIBRUGARH,140101
69257,309.0,ASSAM,DIBRUGARH,140101
69258,160.0,ASSAM,DIBRUGARH,140101
69259,329.0,ASSAM,DIBRUGARH,140101
