,Marks,State,City,Center Code
248549,335.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248550,452.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248551,239.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248552,220.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248553,611.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248554,241.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248555,41.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248556,228.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248557,262.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248558,615.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248559,229.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248560,297.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248561,89.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248562,323.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248563,703.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248564,82.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248565,379.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248566,71.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248567,98.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248568,148.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248569,45.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248570,112.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248571,237.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248572,241.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248573,303.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248574,337.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248575,196.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248576,308.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248577,243.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248578,95.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248579,327.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248580,50.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248581,319.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248582,256.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248583,585.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248584,208.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248585,120.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248586,562.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248587,473.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248588,314.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248589,372.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248590,145.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248591,209.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248592,477.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248593,178.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
248594,283.0,CHANDIGARH(UT),CHANDIGARHMOHALI,160101
