,Marks,State,City,Center Code
252079,58.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252080,329.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252081,235.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252082,102.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252083,643.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252084,116.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252085,130.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252086,576.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252087,284.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252088,601.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252089,374.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252090,101.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252091,125.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252092,208.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252093,51.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252094,444.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252095,272.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252096,131.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252097,511.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252098,479.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252099,98.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252100,385.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252101,87.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252102,52.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252103,593.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252104,254.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252105,527.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252106,588.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252107,357.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252108,327.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252109,221.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252110,108.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252111,65.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252112,329.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252113,126.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252114,37.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252115,171.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252116,361.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252117,126.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252118,611.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252119,512.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252120,91.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252121,325.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252122,319.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252123,71.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252124,144.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252125,220.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252126,404.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252127,66.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252128,110.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252129,595.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252130,131.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252131,391.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252132,499.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252133,59.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252134,171.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252135,149.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252136,76.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252137,104.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252138,237.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252139,502.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252140,304.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252141,163.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252142,83.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252143,176.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252144,398.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252145,142.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252146,117.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252147,237.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252148,145.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252149,252.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252150,135.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252151,294.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252152,150.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252153,170.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252154,363.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252155,123.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252156,399.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252157,368.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252158,120.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252159,181.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252160,556.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252161,418.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252162,572.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252163,97.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252164,28.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252165,139.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252166,463.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252167,90.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252168,183.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252169,130.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252170,116.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252171,181.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252172,228.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252173,25.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252174,426.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252175,359.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252176,177.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252177,483.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252178,462.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252179,286.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252180,500.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252181,440.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252182,148.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252183,357.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252184,296.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252185,173.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252186,125.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252187,406.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252188,164.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252189,146.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252190,239.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252191,567.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252192,318.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252193,183.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252194,75.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252195,106.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252196,305.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252197,324.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252198,51.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252199,658.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252200,81.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252201,17.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252202,468.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252203,422.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252204,360.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252205,137.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252206,221.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252207,196.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252208,451.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252209,252.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252210,173.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252211,159.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252212,399.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252213,305.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252214,50.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252215,130.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252216,295.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252217,271.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252218,136.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252219,197.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252220,215.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252221,115.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252222,63.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252223,489.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252224,160.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252225,236.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252226,325.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252227,261.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252228,292.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252229,67.0,CHHATTISGARH,BHILAI NAGARDURG,170101
252230,110.0,CHHATTISGARH,BHILAI NAGARDURG,170101
