,Marks,State,City,Center Code
296019,116.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296020,325.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296021,303.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296022,246.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296023,45.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296024,169.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296025,176.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296026,359.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296027,243.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296028,19.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296029,322.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296030,106.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296031,204.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296032,80.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296033,198.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296034,54.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296035,169.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296036,98.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296037,352.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296038,454.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296039,353.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296040,35.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296041,408.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296042,156.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296043,309.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296044,242.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296045,353.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296046,76.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296047,270.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296048,112.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296049,369.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296050,280.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296051,231.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296052,123.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296053,98.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296054,66.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296055,528.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296056,195.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296057,93.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296058,105.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296059,139.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296060,278.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296061,212.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296062,308.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296063,337.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296064,60.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296065,437.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296066,100.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296067,499.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296068,35.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296069,488.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296070,479.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296071,310.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296072,633.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296073,417.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296074,172.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296075,332.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296076,565.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296077,325.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296078,437.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296079,374.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296080,620.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296081,402.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296082,46.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296083,114.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296084,162.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296085,225.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296086,144.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296087,141.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296088,123.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296089,292.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296090,114.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296091,462.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296092,125.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296093,382.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296094,49.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296095,86.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296096,282.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296097,51.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296098,104.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296099,270.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296100,340.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296101,232.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296102,3.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296103,371.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296104,446.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296105,181.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296106,146.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296107,235.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296108,619.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296109,99.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296110,326.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296111,91.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296112,124.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296113,123.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296114,91.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296115,458.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296116,99.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296117,125.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296118,512.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296119,403.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296120,179.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296121,206.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296122,246.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296123,307.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296124,248.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296125,80.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296126,155.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296127,70.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
296128,351.0,DADRA AND NAGAR HAVELI (UT),SILVASSA,180101
