,Marks,State,City,Center Code
297181,128.0,DAMAN AND DIU (UT),DAMAN,190101
297182,216.0,DAMAN AND DIU (UT),DAMAN,190101
297183,103.0,DAMAN AND DIU (UT),DAMAN,190101
297184,133.0,DAMAN AND DIU (UT),DAMAN,190101
297185,97.0,DAMAN AND DIU (UT),DAMAN,190101
297186,151.0,DAMAN AND DIU (UT),DAMAN,190101
297187,321.0,DAMAN AND DIU (UT),DAMAN,190101
297188,147.0,DAMAN AND DIU (UT),DAMAN,190101
297189,544.0,DAMAN AND DIU (UT),DAMAN,190101
297190,43.0,DAMAN AND DIU (UT),DAMAN,190101
297191,88.0,DAMAN AND DIU (UT),DAMAN,190101
297192,52.0,DAMAN AND DIU (UT),DAMAN,190101
297193,105.0,DAMAN AND DIU (UT),DAMAN,190101
297194,202.0,DAMAN AND DIU (UT),DAMAN,190101
297195,51.0,DAMAN AND DIU (UT),DAMAN,190101
297196,229.0,DAMAN AND DIU (UT),DAMAN,190101
297197,168.0,DAMAN AND DIU (UT),DAMAN,190101
297198,237.0,DAMAN AND DIU (UT),DAMAN,190101
297199,311.0,DAMAN AND DIU (UT),DAMAN,190101
297200,111.0,DAMAN AND DIU (UT),DAMAN,190101
297201,62.0,DAMAN AND DIU (UT),DAMAN,190101
297202,82.0,DAMAN AND DIU (UT),DAMAN,190101
297203,123.0,DAMAN AND DIU (UT),DAMAN,190101
297204,161.0,DAMAN AND DIU (UT),DAMAN,190101
297205,159.0,DAMAN AND DIU (UT),DAMAN,190101
297206,77.0,DAMAN AND DIU (UT),DAMAN,190101
297207,74.0,DAMAN AND DIU (UT),DAMAN,190101
297208,54.0,DAMAN AND DIU (UT),DAMAN,190101
297209,25.0,DAMAN AND DIU (UT),DAMAN,190101
297210,234.0,DAMAN AND DIU (UT),DAMAN,190101
297211,92.0,DAMAN AND DIU (UT),DAMAN,190101
297212,181.0,DAMAN AND DIU (UT),DAMAN,190101
297213,106.0,DAMAN AND DIU (UT),DAMAN,190101
297214,104.0,DAMAN AND DIU (UT),DAMAN,190101
297215,229.0,DAMAN AND DIU (UT),DAMAN,190101
297216,133.0,DAMAN AND DIU (UT),DAMAN,190101
297217,290.0,DAMAN AND DIU (UT),DAMAN,190101
297218,194.0,DAMAN AND DIU (UT),DAMAN,190101
297219,295.0,DAMAN AND DIU (UT),DAMAN,190101
297220,293.0,DAMAN AND DIU (UT),DAMAN,190101
297221,73.0,DAMAN AND DIU (UT),DAMAN,190101
297222,118.0,DAMAN AND DIU (UT),DAMAN,190101
297223,168.0,DAMAN AND DIU (UT),DAMAN,190101
297224,77.0,DAMAN AND DIU (UT),DAMAN,190101
297225,111.0,DAMAN AND DIU (UT),DAMAN,190101
297226,159.0,DAMAN AND DIU (UT),DAMAN,190101
297227,130.0,DAMAN AND DIU (UT),DAMAN,190101
297228,77.0,DAMAN AND DIU (UT),DAMAN,190101
297229,295.0,DAMAN AND DIU (UT),DAMAN,190101
297230,66.0,DAMAN AND DIU (UT),DAMAN,190101
297231,307.0,DAMAN AND DIU (UT),DAMAN,190101
297232,101.0,DAMAN AND DIU (UT),DAMAN,190101
297233,77.0,DAMAN AND DIU (UT),DAMAN,190101
297234,449.0,DAMAN AND DIU (UT),DAMAN,190101
297235,142.0,DAMAN AND DIU (UT),DAMAN,190101
297236,151.0,DAMAN AND DIU (UT),DAMAN,190101
297237,104.0,DAMAN AND DIU (UT),DAMAN,190101
297238,51.0,DAMAN AND DIU (UT),DAMAN,190101
297239,272.0,DAMAN AND DIU (UT),DAMAN,190101
297240,121.0,DAMAN AND DIU (UT),DAMAN,190101
297241,168.0,DAMAN AND DIU (UT),DAMAN,190101
297242,256.0,DAMAN AND DIU (UT),DAMAN,190101
297243,125.0,DAMAN AND DIU (UT),DAMAN,190101
297244,395.0,DAMAN AND DIU (UT),DAMAN,190101
297245,185.0,DAMAN AND DIU (UT),DAMAN,190101
297246,134.0,DAMAN AND DIU (UT),DAMAN,190101
297247,191.0,DAMAN AND DIU (UT),DAMAN,190101
297248,46.0,DAMAN AND DIU (UT),DAMAN,190101
297249,25.0,DAMAN AND DIU (UT),DAMAN,190101
297250,226.0,DAMAN AND DIU (UT),DAMAN,190101
297251,116.0,DAMAN AND DIU (UT),DAMAN,190101
297252,354.0,DAMAN AND DIU (UT),DAMAN,190101
297253,422.0,DAMAN AND DIU (UT),DAMAN,190101
297254,76.0,DAMAN AND DIU (UT),DAMAN,190101
297255,279.0,DAMAN AND DIU (UT),DAMAN,190101
297256,430.0,DAMAN AND DIU (UT),DAMAN,190101
297257,178.0,DAMAN AND DIU (UT),DAMAN,190101
297258,218.0,DAMAN AND DIU (UT),DAMAN,190101
297259,263.0,DAMAN AND DIU (UT),DAMAN,190101
297260,151.0,DAMAN AND DIU (UT),DAMAN,190101
297261,170.0,DAMAN AND DIU (UT),DAMAN,190101
297262,509.0,DAMAN AND DIU (UT),DAMAN,190101
297263,53.0,DAMAN AND DIU (UT),DAMAN,190101
297264,202.0,DAMAN AND DIU (UT),DAMAN,190101
297265,471.0,DAMAN AND DIU (UT),DAMAN,190101
297266,287.0,DAMAN AND DIU (UT),DAMAN,190101
297267,224.0,DAMAN AND DIU (UT),DAMAN,190101
297268,327.0,DAMAN AND DIU (UT),DAMAN,190101
297269,72.0,DAMAN AND DIU (UT),DAMAN,190101
297270,146.0,DAMAN AND DIU (UT),DAMAN,190101
