,Marks,State,City,Center Code
297950,243.0,DELHI,DELHINEW DELHI,200101
297951,379.0,DELHI,DELHINEW DELHI,200101
297952,47.0,DELHI,DELHINEW DELHI,200101
297953,57.0,DELHI,DELHINEW DELHI,200101
297954,225.0,DELHI,DELHINEW DELHI,200101
297955,119.0,DELHI,DELHINEW DELHI,200101
297956,472.0,DELHI,DELHINEW DELHI,200101
297957,112.0,DELHI,DELHINEW DELHI,200101
297958,178.0,DELHI,DELHINEW DELHI,200101
297959,533.0,DELHI,DELHINEW DELHI,200101
297960,135.0,DELHI,DELHINEW DELHI,200101
297961,248.0,DELHI,DELHINEW DELHI,200101
297962,333.0,DELHI,DELHINEW DELHI,200101
297963,261.0,DELHI,DELHINEW DELHI,200101
297964,147.0,DELHI,DELHINEW DELHI,200101
297965,91.0,DELHI,DELHINEW DELHI,200101
297966,396.0,DELHI,DELHINEW DELHI,200101
297967,370.0,DELHI,DELHINEW DELHI,200101
297968,304.0,DELHI,DELHINEW DELHI,200101
297969,444.0,DELHI,DELHINEW DELHI,200101
297970,527.0,DELHI,DELHINEW DELHI,200101
297971,200.0,DELHI,DELHINEW DELHI,200101
297972,308.0,DELHI,DELHINEW DELHI,200101
297973,222.0,DELHI,DELHINEW DELHI,200101
297974,680.0,DELHI,DELHINEW DELHI,200101
297975,143.0,DELHI,DELHINEW DELHI,200101
297976,80.0,DELHI,DELHINEW DELHI,200101
297977,255.0,DELHI,DELHINEW DELHI,200101
297978,197.0,DELHI,DELHINEW DELHI,200101
297979,687.0,DELHI,DELHINEW DELHI,200101
297980,309.0,DELHI,DELHINEW DELHI,200101
297981,113.0,DELHI,DELHINEW DELHI,200101
297982,162.0,DELHI,DELHINEW DELHI,200101
297983,47.0,DELHI,DELHINEW DELHI,200101
297984,30.0,DELHI,DELHINEW DELHI,200101
297985,227.0,DELHI,DELHINEW DELHI,200101
297986,205.0,DELHI,DELHINEW DELHI,200101
297987,434.0,DELHI,DELHINEW DELHI,200101
297988,609.0,DELHI,DELHINEW DELHI,200101
297989,45.0,DELHI,DELHINEW DELHI,200101
297990,241.0,DELHI,DELHINEW DELHI,200101
297991,22.0,DELHI,DELHINEW DELHI,200101
