,Marks,State,City,Center Code
363634,351.0,GOA,PANAJIMADGAONMARGAO,210101
363635,41.0,GOA,PANAJIMADGAONMARGAO,210101
363636,106.0,GOA,PANAJIMADGAONMARGAO,210101
363637,55.0,GOA,PANAJIMADGAONMARGAO,210101
363638,79.0,GOA,PANAJIMADGAONMARGAO,210101
363639,131.0,GOA,PANAJIMADGAONMARGAO,210101
363640,8.0,GOA,PANAJIMADGAONMARGAO,210101
363641,98.0,GOA,PANAJIMADGAONMARGAO,210101
363642,80.0,GOA,PANAJIMADGAONMARGAO,210101
363643,40.0,GOA,PANAJIMADGAONMARGAO,210101
363644,170.0,GOA,PANAJIMADGAONMARGAO,210101
363645,480.0,GOA,PANAJIMADGAONMARGAO,210101
363646,277.0,GOA,PANAJIMADGAONMARGAO,210101
363647,202.0,GOA,PANAJIMADGAONMARGAO,210101
363648,165.0,GOA,PANAJIMADGAONMARGAO,210101
363649,251.0,GOA,PANAJIMADGAONMARGAO,210101
363650,170.0,GOA,PANAJIMADGAONMARGAO,210101
363651,204.0,GOA,PANAJIMADGAONMARGAO,210101
363652,471.0,GOA,PANAJIMADGAONMARGAO,210101
363653,527.0,GOA,PANAJIMADGAONMARGAO,210101
363654,108.0,GOA,PANAJIMADGAONMARGAO,210101
363655,110.0,GOA,PANAJIMADGAONMARGAO,210101
363656,136.0,GOA,PANAJIMADGAONMARGAO,210101
363657,79.0,GOA,PANAJIMADGAONMARGAO,210101
363658,148.0,GOA,PANAJIMADGAONMARGAO,210101
363659,152.0,GOA,PANAJIMADGAONMARGAO,210101
363660,168.0,GOA,PANAJIMADGAONMARGAO,210101
363661,201.0,GOA,PANAJIMADGAONMARGAO,210101
363662,30.0,GOA,PANAJIMADGAONMARGAO,210101
363663,76.0,GOA,PANAJIMADGAONMARGAO,210101
363664,204.0,GOA,PANAJIMADGAONMARGAO,210101
363665,57.0,GOA,PANAJIMADGAONMARGAO,210101
363666,116.0,GOA,PANAJIMADGAONMARGAO,210101
363667,96.0,GOA,PANAJIMADGAONMARGAO,210101
363668,31.0,GOA,PANAJIMADGAONMARGAO,210101
363669,420.0,GOA,PANAJIMADGAONMARGAO,210101
363670,216.0,GOA,PANAJIMADGAONMARGAO,210101
363671,188.0,GOA,PANAJIMADGAONMARGAO,210101
363672,120.0,GOA,PANAJIMADGAONMARGAO,210101
363673,329.0,GOA,PANAJIMADGAONMARGAO,210101
363674,362.0,GOA,PANAJIMADGAONMARGAO,210101
363675,167.0,GOA,PANAJIMADGAONMARGAO,210101
363676,131.0,GOA,PANAJIMADGAONMARGAO,210101
363677,378.0,GOA,PANAJIMADGAONMARGAO,210101
363678,249.0,GOA,PANAJIMADGAONMARGAO,210101
363679,160.0,GOA,PANAJIMADGAONMARGAO,210101
363680,79.0,GOA,PANAJIMADGAONMARGAO,210101
363681,159.0,GOA,PANAJIMADGAONMARGAO,210101
363682,74.0,GOA,PANAJIMADGAONMARGAO,210101
363683,103.0,GOA,PANAJIMADGAONMARGAO,210101
363684,107.0,GOA,PANAJIMADGAONMARGAO,210101
363685,71.0,GOA,PANAJIMADGAONMARGAO,210101
363686,185.0,GOA,PANAJIMADGAONMARGAO,210101
363687,62.0,GOA,PANAJIMADGAONMARGAO,210101
363688,40.0,GOA,PANAJIMADGAONMARGAO,210101
363689,117.0,GOA,PANAJIMADGAONMARGAO,210101
363690,289.0,GOA,PANAJIMADGAONMARGAO,210101
