Marks,State,City,Center Code
166,HARYANA,FARIDABAD,230101
221,HARYANA,FARIDABAD,230101
73,HARYANA,FARIDABAD,230101
40,HARYANA,FARIDABAD,230101
610,HARYANA,FARIDABAD,230101
237,HARYANA,FARIDABAD,230101
238,HARYANA,FARIDABAD,230101
266,HARYANA,FARIDABAD,230101
585,HARYANA,FARIDABAD,230101
85,HARYANA,FARIDABAD,230101
456,HARYANA,FARIDABAD,230101
232,HARYANA,FARIDABAD,230101
213,HARYANA,FARIDABAD,230101
667,HARYANA,FARIDABAD,230101
245,HARYANA,FARIDABAD,230101
230,HARYANA,FARIDABAD,230101
312,HARYANA,FARIDABAD,230101
295,HARYANA,FARIDABAD,230101
222,HARYANA,FARIDABAD,230101
94,HARYANA,FARIDABAD,230101
76,HARYANA,FARIDABAD,230101
129,HARYANA,FARIDABAD,230101
45,HARYANA,FARIDABAD,230101
78,HARYANA,FARIDABAD,230101
421,HARYANA,FARIDABAD,230101
128,HARYANA,FARIDABAD,230101
126,HARYANA,FARIDABAD,230101
403,HARYANA,FARIDABAD,230101
359,HARYANA,FARIDABAD,230101
124,HARYANA,FARIDABAD,230101
167,HARYANA,FARIDABAD,230101
33,HARYANA,FARIDABAD,230101
109,HARYANA,FARIDABAD,230101
160,HARYANA,FARIDABAD,230101
188,HARYANA,FARIDABAD,230101
166,HARYANA,FARIDABAD,230101
16,HARYANA,FARIDABAD,230101
129,HARYANA,FARIDABAD,230101
206,HARYANA,FARIDABAD,230101
190,HARYANA,FARIDABAD,230101
104,HARYANA,FARIDABAD,230101
281,HARYANA,FARIDABAD,230101
93,HARYANA,FARIDABAD,230101
310,HARYANA,FARIDABAD,230101
176,HARYANA,FARIDABAD,230101
65,HARYANA,FARIDABAD,230101
311,HARYANA,FARIDABAD,230101
142,HARYANA,FARIDABAD,230101
232,HARYANA,FARIDABAD,230101
685,HARYANA,FARIDABAD,230101
16,HARYANA,FARIDABAD,230101
327,HARYANA,FARIDABAD,230101
135,HARYANA,FARIDABAD,230101
641,HARYANA,FARIDABAD,230101
550,HARYANA,FARIDABAD,230101
262,HARYANA,FARIDABAD,230101
595,HARYANA,FARIDABAD,230101
190,HARYANA,FARIDABAD,230101
20,HARYANA,FARIDABAD,230101
54,HARYANA,FARIDABAD,230101
152,HARYANA,FARIDABAD,230101
379,HARYANA,FARIDABAD,230101
45,HARYANA,FARIDABAD,230101
317,HARYANA,FARIDABAD,230101
533,HARYANA,FARIDABAD,230101
198,HARYANA,FARIDABAD,230101
172,HARYANA,FARIDABAD,230101
145,HARYANA,FARIDABAD,230101
77,HARYANA,FARIDABAD,230101
297,HARYANA,FARIDABAD,230101
136,HARYANA,FARIDABAD,230101
123,HARYANA,FARIDABAD,230101
381,HARYANA,FARIDABAD,230101
312,HARYANA,FARIDABAD,230101
128,HARYANA,FARIDABAD,230101
456,HARYANA,FARIDABAD,230101
34,HARYANA,FARIDABAD,230101
425,HARYANA,FARIDABAD,230101
384,HARYANA,FARIDABAD,230101
392,HARYANA,FARIDABAD,230101
124,HARYANA,FARIDABAD,230101
161,HARYANA,FARIDABAD,230101
305,HARYANA,FARIDABAD,230101
-2,HARYANA,FARIDABAD,230101
203,HARYANA,FARIDABAD,230101
175,HARYANA,FARIDABAD,230101
75,HARYANA,FARIDABAD,230101
261,HARYANA,FARIDABAD,230101
319,HARYANA,FARIDABAD,230101
113,HARYANA,FARIDABAD,230101
157,HARYANA,FARIDABAD,230101
311,HARYANA,FARIDABAD,230101
508,HARYANA,FARIDABAD,230101
83,HARYANA,FARIDABAD,230101
537,HARYANA,FARIDABAD,230101
632,HARYANA,FARIDABAD,230101
203,HARYANA,FARIDABAD,230101
273,HARYANA,FARIDABAD,230101
561,HARYANA,FARIDABAD,230101
135,HARYANA,FARIDABAD,230101
149,HARYANA,FARIDABAD,230101
35,HARYANA,FARIDABAD,230101
109,HARYANA,FARIDABAD,230101
