,Marks,State,City,Center Code
508902,235.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508903,229.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508904,266.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508905,119.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508906,241.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508907,257.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508908,110.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508909,565.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508910,537.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508911,40.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508912,87.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508913,365.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508914,489.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508915,87.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508916,223.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508917,86.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508918,526.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508919,300.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508920,39.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508921,20.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508922,282.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508923,166.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508924,542.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508925,299.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508926,360.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508927,307.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508928,205.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508929,87.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508930,346.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508931,80.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508932,54.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508933,32.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508934,124.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508935,292.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508936,60.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508937,100.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508938,132.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508939,332.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508940,204.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508941,128.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508942,635.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508943,485.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508944,123.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508945,89.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508946,494.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508947,60.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508948,100.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508949,155.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508950,86.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508951,20.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508952,74.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508953,285.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508954,414.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508955,133.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508956,232.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508957,173.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508958,214.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508959,115.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508960,308.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508961,162.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508962,22.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508963,615.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508964,300.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508965,365.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508966,29.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508967,96.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508968,177.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508969,300.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508970,176.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508971,175.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508972,100.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508973,34.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508974,137.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508975,151.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508976,192.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508977,85.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508978,380.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508979,100.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508980,171.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508981,134.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508982,28.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508983,332.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508984,35.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508985,89.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508986,118.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508987,184.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508988,439.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508989,44.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508990,197.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508991,368.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508992,245.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508993,148.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508994,60.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508995,103.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508996,511.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508997,293.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508998,336.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
508999,160.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509000,238.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509001,153.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509002,426.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509003,336.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509004,95.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509005,112.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509006,128.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509007,175.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509008,340.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509009,70.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509010,89.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509011,307.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509012,116.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509013,147.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509014,269.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509015,124.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509016,300.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509017,474.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509018,174.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509019,284.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509020,306.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509021,45.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509022,75.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509023,230.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509024,73.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509025,59.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509026,525.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509027,159.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509028,626.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509029,515.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509030,446.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509031,179.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509032,146.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509033,164.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509034,427.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509035,363.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509036,599.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509037,73.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509038,243.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509039,591.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509040,644.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509041,252.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509042,167.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509043,504.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509044,289.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509045,200.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509046,439.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509047,61.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509048,127.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509049,163.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509050,36.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509051,236.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509052,392.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509053,146.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509054,95.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509055,248.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509056,43.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509057,76.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509058,270.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509059,374.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509060,115.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509061,128.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509062,122.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509063,175.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509064,104.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509065,26.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
509066,159.0,HIMACHAL PRADESH,HAMIRPUR (HP),240101
