,Marks,State,City,Center Code
574685,210.0,JHARKHAND,BOKARO,260101
574686,134.0,JHARKHAND,BOKARO,260101
574687,114.0,JHARKHAND,BOKARO,260101
574688,120.0,JHARKHAND,BOKARO,260101
574689,59.0,JHARKHAND,BOKARO,260101
574690,285.0,JHARKHAND,BOKARO,260101
574691,85.0,JHARKHAND,BOKARO,260101
574692,98.0,JHARKHAND,BOKARO,260101
574693,461.0,JHARKHAND,BOKARO,260101
574694,67.0,JHARKHAND,BOKARO,260101
574695,406.0,JHARKHAND,BOKARO,260101
574696,414.0,JHARKHAND,BOKARO,260101
574697,277.0,JHARKHAND,BOKARO,260101
574698,256.0,JHARKHAND,BOKARO,260101
574699,27.0,JHARKHAND,BOKARO,260101
574700,579.0,JHARKHAND,BOKARO,260101
574701,605.0,JHARKHAND,BOKARO,260101
574702,75.0,JHARKHAND,BOKARO,260101
574703,198.0,JHARKHAND,BOKARO,260101
574704,192.0,JHARKHAND,BOKARO,260101
574705,70.0,JHARKHAND,BOKARO,260101
574706,183.0,JHARKHAND,BOKARO,260101
574707,157.0,JHARKHAND,BOKARO,260101
574708,295.0,JHARKHAND,BOKARO,260101
574709,93.0,JHARKHAND,BOKARO,260101
574710,574.0,JHARKHAND,BOKARO,260101
574711,293.0,JHARKHAND,BOKARO,260101
574712,135.0,JHARKHAND,BOKARO,260101
574713,103.0,JHARKHAND,BOKARO,260101
574714,371.0,JHARKHAND,BOKARO,260101
574715,600.0,JHARKHAND,BOKARO,260101
574716,546.0,JHARKHAND,BOKARO,260101
574717,157.0,JHARKHAND,BOKARO,260101
574718,92.0,JHARKHAND,BOKARO,260101
574719,281.0,JHARKHAND,BOKARO,260101
574720,186.0,JHARKHAND,BOKARO,260101
574721,54.0,JHARKHAND,BOKARO,260101
574722,119.0,JHARKHAND,BOKARO,260101
574723,107.0,JHARKHAND,BOKARO,260101
574724,86.0,JHARKHAND,BOKARO,260101
574725,58.0,JHARKHAND,BOKARO,260101
574726,338.0,JHARKHAND,BOKARO,260101
574727,74.0,JHARKHAND,BOKARO,260101
574728,230.0,JHARKHAND,BOKARO,260101
574729,150.0,JHARKHAND,BOKARO,260101
574730,224.0,JHARKHAND,BOKARO,260101
574731,652.0,JHARKHAND,BOKARO,260101
574732,125.0,JHARKHAND,BOKARO,260101
574733,126.0,JHARKHAND,BOKARO,260101
574734,75.0,JHARKHAND,BOKARO,260101
574735,80.0,JHARKHAND,BOKARO,260101
574736,127.0,JHARKHAND,BOKARO,260101
574737,247.0,JHARKHAND,BOKARO,260101
574738,43.0,JHARKHAND,BOKARO,260101
574739,66.0,JHARKHAND,BOKARO,260101
574740,191.0,JHARKHAND,BOKARO,260101
574741,50.0,JHARKHAND,BOKARO,260101
574742,80.0,JHARKHAND,BOKARO,260101
574743,651.0,JHARKHAND,BOKARO,260101
574744,73.0,JHARKHAND,BOKARO,260101
574745,108.0,JHARKHAND,BOKARO,260101
574746,319.0,JHARKHAND,BOKARO,260101
574747,338.0,JHARKHAND,BOKARO,260101
574748,227.0,JHARKHAND,BOKARO,260101
574749,140.0,JHARKHAND,BOKARO,260101
574750,110.0,JHARKHAND,BOKARO,260101
574751,112.0,JHARKHAND,BOKARO,260101
574752,198.0,JHARKHAND,BOKARO,260101
574753,81.0,JHARKHAND,BOKARO,260101
574754,233.0,JHARKHAND,BOKARO,260101
574755,100.0,JHARKHAND,BOKARO,260101
574756,212.0,JHARKHAND,BOKARO,260101
574757,157.0,JHARKHAND,BOKARO,260101
574758,59.0,JHARKHAND,BOKARO,260101
574759,322.0,JHARKHAND,BOKARO,260101
574760,592.0,JHARKHAND,BOKARO,260101
574761,122.0,JHARKHAND,BOKARO,260101
