,Marks,State,City,Center Code
2309982,133.0,LADAKH(UT),LEH,470101
2309983,83.0,LADAKH(UT),LEH,470101
2309984,122.0,LADAKH(UT),LEH,470101
2309985,45.0,LADAKH(UT),LEH,470101
2309986,165.0,LADAKH(UT),LEH,470101
2309987,169.0,LADAKH(UT),LEH,470101
2309988,83.0,LADAKH(UT),LEH,470101
2309989,136.0,LADAKH(UT),LEH,470101
2309990,307.0,LADAKH(UT),LEH,470101
2309991,56.0,LADAKH(UT),LEH,470101
2309992,83.0,LADAKH(UT),LEH,470101
2309993,452.0,LADAKH(UT),LEH,470101
2309994,61.0,LADAKH(UT),LEH,470101
2309995,406.0,LADAKH(UT),LEH,470101
2309996,76.0,LADAKH(UT),LEH,470101
2309997,150.0,LADAKH(UT),LEH,470101
2309998,197.0,LADAKH(UT),LEH,470101
2309999,285.0,LADAKH(UT),LEH,470101
2310000,340.0,LADAKH(UT),LEH,470101
2310001,449.0,LADAKH(UT),LEH,470101
2310002,201.0,LADAKH(UT),LEH,470101
2310003,246.0,LADAKH(UT),LEH,470101
2310004,105.0,LADAKH(UT),LEH,470101
2310005,322.0,LADAKH(UT),LEH,470101
2310006,89.0,LADAKH(UT),LEH,470101
2310007,150.0,LADAKH(UT),LEH,470101
2310008,214.0,LADAKH(UT),LEH,470101
2310009,379.0,LADAKH(UT),LEH,470101
2310010,111.0,LADAKH(UT),LEH,470101
2310011,39.0,LADAKH(UT),LEH,470101
2310012,100.0,LADAKH(UT),LEH,470101
2310013,113.0,LADAKH(UT),LEH,470101
2310014,435.0,LADAKH(UT),LEH,470101
2310015,407.0,LADAKH(UT),LEH,470101
2310016,244.0,LADAKH(UT),LEH,470101
2310017,72.0,LADAKH(UT),LEH,470101
2310018,128.0,LADAKH(UT),LEH,470101
2310019,112.0,LADAKH(UT),LEH,470101
2310020,215.0,LADAKH(UT),LEH,470101
2310021,185.0,LADAKH(UT),LEH,470101
2310022,461.0,LADAKH(UT),LEH,470101
2310023,233.0,LADAKH(UT),LEH,470101
2310024,83.0,LADAKH(UT),LEH,470101
2310025,137.0,LADAKH(UT),LEH,470101
2310026,369.0,LADAKH(UT),LEH,470101
2310027,371.0,LADAKH(UT),LEH,470101
2310028,267.0,LADAKH(UT),LEH,470101
2310029,472.0,LADAKH(UT),LEH,470101
2310030,104.0,LADAKH(UT),LEH,470101
2310031,66.0,LADAKH(UT),LEH,470101
2310032,189.0,LADAKH(UT),LEH,470101
2310033,273.0,LADAKH(UT),LEH,470101
2310034,116.0,LADAKH(UT),LEH,470101
2310035,156.0,LADAKH(UT),LEH,470101
2310036,104.0,LADAKH(UT),LEH,470101
2310037,374.0,LADAKH(UT),LEH,470101
2310038,245.0,LADAKH(UT),LEH,470101
2310039,120.0,LADAKH(UT),LEH,470101
2310040,201.0,LADAKH(UT),LEH,470101
2310041,130.0,LADAKH(UT),LEH,470101
2310042,305.0,LADAKH(UT),LEH,470101
2310043,444.0,LADAKH(UT),LEH,470101
2310044,85.0,LADAKH(UT),LEH,470101
2310045,88.0,LADAKH(UT),LEH,470101
2310046,195.0,LADAKH(UT),LEH,470101
2310047,147.0,LADAKH(UT),LEH,470101
