,Marks,State,City,Center Code
895127,65.0,LAKSHADWEEP (UT),KAVARATTI,290101
895128,370.0,LAKSHADWEEP (UT),KAVARATTI,290101
895129,145.0,LAKSHADWEEP (UT),KAVARATTI,290101
895130,102.0,LAKSHADWEEP (UT),KAVARATTI,290101
895131,102.0,LAKSHADWEEP (UT),KAVARATTI,290101
895132,200.0,LAKSHADWEEP (UT),KAVARATTI,290101
895133,48.0,LAKSHADWEEP (UT),KAVARATTI,290101
895134,80.0,LAKSHADWEEP (UT),KAVARATTI,290101
895135,198.0,LAKSHADWEEP (UT),KAVARATTI,290101
895136,435.0,LAKSHADWEEP (UT),KAVARATTI,290101
895137,25.0,LAKSHADWEEP (UT),KAVARATTI,290101
895138,134.0,LAKSHADWEEP (UT),KAVARATTI,290101
895139,90.0,LAKSHADWEEP (UT),KAVARATTI,290101
895140,55.0,LAKSHADWEEP (UT),KAVARATTI,290101
895141,115.0,LAKSHADWEEP (UT),KAVARATTI,290101
895142,35.0,LAKSHADWEEP (UT),KAVARATTI,290101
895143,60.0,LAKSHADWEEP (UT),KAVARATTI,290101
895144,0.0,LAKSHADWEEP (UT),KAVARATTI,290101
895145,61.0,LAKSHADWEEP (UT),KAVARATTI,290101
895146,437.0,LAKSHADWEEP (UT),KAVARATTI,290101
895147,35.0,LAKSHADWEEP (UT),KAVARATTI,290101
895148,135.0,LAKSHADWEEP (UT),KAVARATTI,290101
895149,79.0,LAKSHADWEEP (UT),KAVARATTI,290101
895150,65.0,LAKSHADWEEP (UT),KAVARATTI,290101
895151,360.0,LAKSHADWEEP (UT),KAVARATTI,290101
895152,55.0,LAKSHADWEEP (UT),KAVARATTI,290101
895153,590.0,LAKSHADWEEP (UT),KAVARATTI,290101
895154,67.0,LAKSHADWEEP (UT),KAVARATTI,290101
895155,227.0,LAKSHADWEEP (UT),KAVARATTI,290101
895156,108.0,LAKSHADWEEP (UT),KAVARATTI,290101
895157,60.0,LAKSHADWEEP (UT),KAVARATTI,290101
