,Marks,State,City,Center Code
1297672,288.0,MANIPUR,IMPHAL,320101
1297673,249.0,MANIPUR,IMPHAL,320101
1297674,59.0,MANIPUR,IMPHAL,320101
1297675,497.0,MANIPUR,IMPHAL,320101
1297676,250.0,MANIPUR,IMPHAL,320101
1297677,55.0,MANIPUR,IMPHAL,320101
1297678,80.0,MANIPUR,IMPHAL,320101
1297679,182.0,MANIPUR,IMPHAL,320101
1297680,209.0,MANIPUR,IMPHAL,320101
1297681,336.0,MANIPUR,IMPHAL,320101
1297682,232.0,MANIPUR,IMPHAL,320101
1297683,90.0,MANIPUR,IMPHAL,320101
1297684,333.0,MANIPUR,IMPHAL,320101
1297685,82.0,MANIPUR,IMPHAL,320101
1297686,203.0,MANIPUR,IMPHAL,320101
1297687,197.0,MANIPUR,IMPHAL,320101
1297688,91.0,MANIPUR,IMPHAL,320101
1297689,94.0,MANIPUR,IMPHAL,320101
1297690,196.0,MANIPUR,IMPHAL,320101
1297691,181.0,MANIPUR,IMPHAL,320101
1297692,257.0,MANIPUR,IMPHAL,320101
1297693,123.0,MANIPUR,IMPHAL,320101
1297694,-20.0,MANIPUR,IMPHAL,320101
1297695,513.0,MANIPUR,IMPHAL,320101
1297696,76.0,MANIPUR,IMPHAL,320101
1297697,130.0,MANIPUR,IMPHAL,320101
1297698,194.0,MANIPUR,IMPHAL,320101
1297699,160.0,MANIPUR,IMPHAL,320101
1297700,115.0,MANIPUR,IMPHAL,320101
1297701,125.0,MANIPUR,IMPHAL,320101
1297702,167.0,MANIPUR,IMPHAL,320101
1297703,120.0,MANIPUR,IMPHAL,320101
1297704,276.0,MANIPUR,IMPHAL,320101
1297705,475.0,MANIPUR,IMPHAL,320101
1297706,335.0,MANIPUR,IMPHAL,320101
1297707,38.0,MANIPUR,IMPHAL,320101
1297708,313.0,MANIPUR,IMPHAL,320101
1297709,479.0,MANIPUR,IMPHAL,320101
1297710,218.0,MANIPUR,IMPHAL,320101
1297711,295.0,MANIPUR,IMPHAL,320101
1297712,182.0,MANIPUR,IMPHAL,320101
1297713,326.0,MANIPUR,IMPHAL,320101
1297714,47.0,MANIPUR,IMPHAL,320101
