,Marks,State,City,Center Code
1306439,410.0,MEGHALAYA,SHILLONG,330101
1306440,133.0,MEGHALAYA,SHILLONG,330101
1306441,91.0,MEGHALAYA,SHILLONG,330101
1306442,245.0,MEGHALAYA,SHILLONG,330101
1306443,324.0,MEGHALAYA,SHILLONG,330101
1306444,267.0,MEGHALAYA,SHILLONG,330101
1306445,223.0,MEGHALAYA,SHILLONG,330101
1306446,114.0,MEGHALAYA,SHILLONG,330101
1306447,54.0,MEGHALAYA,SHILLONG,330101
1306448,265.0,MEGHALAYA,SHILLONG,330101
1306449,133.0,MEGHALAYA,SHILLONG,330101
1306450,134.0,MEGHALAYA,SHILLONG,330101
1306451,25.0,MEGHALAYA,SHILLONG,330101
1306452,105.0,MEGHALAYA,SHILLONG,330101
1306453,336.0,MEGHALAYA,SHILLONG,330101
1306454,71.0,MEGHALAYA,SHILLONG,330101
1306455,114.0,MEGHALAYA,SHILLONG,330101
1306456,417.0,MEGHALAYA,SHILLONG,330101
1306457,430.0,MEGHALAYA,SHILLONG,330101
1306458,348.0,MEGHALAYA,SHILLONG,330101
1306459,116.0,MEGHALAYA,SHILLONG,330101
1306460,104.0,MEGHALAYA,SHILLONG,330101
1306461,121.0,MEGHALAYA,SHILLONG,330101
1306462,65.0,MEGHALAYA,SHILLONG,330101
1306463,34.0,MEGHALAYA,SHILLONG,330101
1306464,132.0,MEGHALAYA,SHILLONG,330101
1306465,168.0,MEGHALAYA,SHILLONG,330101
1306466,298.0,MEGHALAYA,SHILLONG,330101
1306467,85.0,MEGHALAYA,SHILLONG,330101
1306468,293.0,MEGHALAYA,SHILLONG,330101
1306469,138.0,MEGHALAYA,SHILLONG,330101
1306470,186.0,MEGHALAYA,SHILLONG,330101
1306471,118.0,MEGHALAYA,SHILLONG,330101
1306472,273.0,MEGHALAYA,SHILLONG,330101
1306473,143.0,MEGHALAYA,SHILLONG,330101
1306474,290.0,MEGHALAYA,SHILLONG,330101
1306475,115.0,MEGHALAYA,SHILLONG,330101
1306476,77.0,MEGHALAYA,SHILLONG,330101
1306477,33.0,MEGHALAYA,SHILLONG,330101
1306478,155.0,MEGHALAYA,SHILLONG,330101
1306479,148.0,MEGHALAYA,SHILLONG,330101
1306480,117.0,MEGHALAYA,SHILLONG,330101
1306481,110.0,MEGHALAYA,SHILLONG,330101
1306482,190.0,MEGHALAYA,SHILLONG,330101
1306483,198.0,MEGHALAYA,SHILLONG,330101
1306484,177.0,MEGHALAYA,SHILLONG,330101
1306485,479.0,MEGHALAYA,SHILLONG,330101
1306486,47.0,MEGHALAYA,SHILLONG,330101
1306487,250.0,MEGHALAYA,SHILLONG,330101
1306488,323.0,MEGHALAYA,SHILLONG,330101
1306489,490.0,MEGHALAYA,SHILLONG,330101
1306490,204.0,MEGHALAYA,SHILLONG,330101
1306491,124.0,MEGHALAYA,SHILLONG,330101
1306492,139.0,MEGHALAYA,SHILLONG,330101
1306493,141.0,MEGHALAYA,SHILLONG,330101
1306494,93.0,MEGHALAYA,SHILLONG,330101
1306495,182.0,MEGHALAYA,SHILLONG,330101
1306496,452.0,MEGHALAYA,SHILLONG,330101
1306497,250.0,MEGHALAYA,SHILLONG,330101
1306498,142.0,MEGHALAYA,SHILLONG,330101
1306499,183.0,MEGHALAYA,SHILLONG,330101
1306500,151.0,MEGHALAYA,SHILLONG,330101
1306501,62.0,MEGHALAYA,SHILLONG,330101
1306502,139.0,MEGHALAYA,SHILLONG,330101
1306503,87.0,MEGHALAYA,SHILLONG,330101
1306504,125.0,MEGHALAYA,SHILLONG,330101
1306505,152.0,MEGHALAYA,SHILLONG,330101
1306506,92.0,MEGHALAYA,SHILLONG,330101
1306507,93.0,MEGHALAYA,SHILLONG,330101
1306508,101.0,MEGHALAYA,SHILLONG,330101
1306509,120.0,MEGHALAYA,SHILLONG,330101
1306510,98.0,MEGHALAYA,SHILLONG,330101
1306511,152.0,MEGHALAYA,SHILLONG,330101
