,Marks,State,City,Center Code
1310196,97.0,MIZORAM,AIZAWL,340101
1310197,115.0,MIZORAM,AIZAWL,340101
1310198,63.0,MIZORAM,AIZAWL,340101
1310199,323.0,MIZORAM,AIZAWL,340101
1310200,54.0,MIZORAM,AIZAWL,340101
1310201,221.0,MIZORAM,AIZAWL,340101
1310202,172.0,MIZORAM,AIZAWL,340101
1310203,91.0,MIZORAM,AIZAWL,340101
1310204,117.0,MIZORAM,AIZAWL,340101
1310205,159.0,MIZORAM,AIZAWL,340101
1310206,197.0,MIZORAM,AIZAWL,340101
1310207,80.0,MIZORAM,AIZAWL,340101
1310208,70.0,MIZORAM,AIZAWL,340101
1310209,85.0,MIZORAM,AIZAWL,340101
1310210,251.0,MIZORAM,AIZAWL,340101
1310211,281.0,MIZORAM,AIZAWL,340101
1310212,80.0,MIZORAM,AIZAWL,340101
1310213,224.0,MIZORAM,AIZAWL,340101
1310214,117.0,MIZORAM,AIZAWL,340101
1310215,306.0,MIZORAM,AIZAWL,340101
1310216,138.0,MIZORAM,AIZAWL,340101
1310217,72.0,MIZORAM,AIZAWL,340101
1310218,211.0,MIZORAM,AIZAWL,340101
1310219,152.0,MIZORAM,AIZAWL,340101
1310220,78.0,MIZORAM,AIZAWL,340101
1310221,186.0,MIZORAM,AIZAWL,340101
1310222,335.0,MIZORAM,AIZAWL,340101
1310223,176.0,MIZORAM,AIZAWL,340101
1310224,283.0,MIZORAM,AIZAWL,340101
1310225,140.0,MIZORAM,AIZAWL,340101
1310226,50.0,MIZORAM,AIZAWL,340101
1310227,366.0,MIZORAM,AIZAWL,340101
1310228,69.0,MIZORAM,AIZAWL,340101
1310229,54.0,MIZORAM,AIZAWL,340101
1310230,152.0,MIZORAM,AIZAWL,340101
1310231,174.0,MIZORAM,AIZAWL,340101
1310232,380.0,MIZORAM,AIZAWL,340101
1310233,75.0,MIZORAM,AIZAWL,340101
1310234,108.0,MIZORAM,AIZAWL,340101
1310235,95.0,MIZORAM,AIZAWL,340101
1310236,180.0,MIZORAM,AIZAWL,340101
1310237,192.0,MIZORAM,AIZAWL,340101
1310238,256.0,MIZORAM,AIZAWL,340101
1310239,83.0,MIZORAM,AIZAWL,340101
1310240,120.0,MIZORAM,AIZAWL,340101
1310241,147.0,MIZORAM,AIZAWL,340101
1310242,54.0,MIZORAM,AIZAWL,340101
1310243,80.0,MIZORAM,AIZAWL,340101
1310244,97.0,MIZORAM,AIZAWL,340101
1310245,213.0,MIZORAM,AIZAWL,340101
1310246,82.0,MIZORAM,AIZAWL,340101
1310247,226.0,MIZORAM,AIZAWL,340101
1310248,393.0,MIZORAM,AIZAWL,340101
1310249,204.0,MIZORAM,AIZAWL,340101
1310250,122.0,MIZORAM,AIZAWL,340101
1310251,62.0,MIZORAM,AIZAWL,340101
1310252,209.0,MIZORAM,AIZAWL,340101
1310253,56.0,MIZORAM,AIZAWL,340101
1310254,179.0,MIZORAM,AIZAWL,340101
1310255,185.0,MIZORAM,AIZAWL,340101
1310256,208.0,MIZORAM,AIZAWL,340101
1310257,48.0,MIZORAM,AIZAWL,340101
1310258,369.0,MIZORAM,AIZAWL,340101
1310259,308.0,MIZORAM,AIZAWL,340101
1310260,341.0,MIZORAM,AIZAWL,340101
1310261,311.0,MIZORAM,AIZAWL,340101
1310262,158.0,MIZORAM,AIZAWL,340101
1310263,92.0,MIZORAM,AIZAWL,340101
1310264,61.0,MIZORAM,AIZAWL,340101
1310265,324.0,MIZORAM,AIZAWL,340101
1310266,146.0,MIZORAM,AIZAWL,340101
1310267,121.0,MIZORAM,AIZAWL,340101
1310268,23.0,MIZORAM,AIZAWL,340101
1310269,252.0,MIZORAM,AIZAWL,340101
1310270,175.0,MIZORAM,AIZAWL,340101
1310271,126.0,MIZORAM,AIZAWL,340101
1310272,134.0,MIZORAM,AIZAWL,340101
1310273,157.0,MIZORAM,AIZAWL,340101
1310274,133.0,MIZORAM,AIZAWL,340101
1310275,84.0,MIZORAM,AIZAWL,340101
1310276,172.0,MIZORAM,AIZAWL,340101
1310277,158.0,MIZORAM,AIZAWL,340101
1310278,69.0,MIZORAM,AIZAWL,340101
1310279,55.0,MIZORAM,AIZAWL,340101
1310280,244.0,MIZORAM,AIZAWL,340101
1310281,108.0,MIZORAM,AIZAWL,340101
1310282,87.0,MIZORAM,AIZAWL,340101
1310283,358.0,MIZORAM,AIZAWL,340101
1310284,72.0,MIZORAM,AIZAWL,340101
1310285,81.0,MIZORAM,AIZAWL,340101
1310286,326.0,MIZORAM,AIZAWL,340101
1310287,101.0,MIZORAM,AIZAWL,340101
1310288,160.0,MIZORAM,AIZAWL,340101
1310289,305.0,MIZORAM,AIZAWL,340101
1310290,104.0,MIZORAM,AIZAWL,340101
1310291,181.0,MIZORAM,AIZAWL,340101
1310292,143.0,MIZORAM,AIZAWL,340101
1310293,81.0,MIZORAM,AIZAWL,340101
1310294,126.0,MIZORAM,AIZAWL,340101
1310295,145.0,MIZORAM,AIZAWL,340101
1310296,205.0,MIZORAM,AIZAWL,340101
1310297,94.0,MIZORAM,AIZAWL,340101
