,Marks,State,City,Center Code
1312745,55.0,NAGALAND,DIMAPUR,350101
1312746,168.0,NAGALAND,DIMAPUR,350101
1312747,55.0,NAGALAND,DIMAPUR,350101
1312748,271.0,NAGALAND,DIMAPUR,350101
1312749,109.0,NAGALAND,DIMAPUR,350101
1312750,244.0,NAGALAND,DIMAPUR,350101
1312751,53.0,NAGALAND,DIMAPUR,350101
1312752,118.0,NAGALAND,DIMAPUR,350101
1312753,332.0,NAGALAND,DIMAPUR,350101
1312754,183.0,NAGALAND,DIMAPUR,350101
1312755,32.0,NAGALAND,DIMAPUR,350101
1312756,236.0,NAGALAND,DIMAPUR,350101
1312757,140.0,NAGALAND,DIMAPUR,350101
1312758,80.0,NAGALAND,DIMAPUR,350101
1312759,261.0,NAGALAND,DIMAPUR,350101
1312760,45.0,NAGALAND,DIMAPUR,350101
1312761,40.0,NAGALAND,DIMAPUR,350101
1312762,152.0,NAGALAND,DIMAPUR,350101
1312763,65.0,NAGALAND,DIMAPUR,350101
1312764,325.0,NAGALAND,DIMAPUR,350101
1312765,58.0,NAGALAND,DIMAPUR,350101
1312766,290.0,NAGALAND,DIMAPUR,350101
1312767,76.0,NAGALAND,DIMAPUR,350101
1312768,134.0,NAGALAND,DIMAPUR,350101
1312769,204.0,NAGALAND,DIMAPUR,350101
1312770,236.0,NAGALAND,DIMAPUR,350101
1312771,43.0,NAGALAND,DIMAPUR,350101
1312772,120.0,NAGALAND,DIMAPUR,350101
1312773,87.0,NAGALAND,DIMAPUR,350101
1312774,273.0,NAGALAND,DIMAPUR,350101
1312775,33.0,NAGALAND,DIMAPUR,350101
1312776,51.0,NAGALAND,DIMAPUR,350101
1312777,144.0,NAGALAND,DIMAPUR,350101
1312778,255.0,NAGALAND,DIMAPUR,350101
1312779,229.0,NAGALAND,DIMAPUR,350101
1312780,81.0,NAGALAND,DIMAPUR,350101
1312781,328.0,NAGALAND,DIMAPUR,350101
1312782,91.0,NAGALAND,DIMAPUR,350101
1312783,125.0,NAGALAND,DIMAPUR,350101
1312784,117.0,NAGALAND,DIMAPUR,350101
1312785,76.0,NAGALAND,DIMAPUR,350101
1312786,109.0,NAGALAND,DIMAPUR,350101
1312787,197.0,NAGALAND,DIMAPUR,350101
1312788,256.0,NAGALAND,DIMAPUR,350101
1312789,233.0,NAGALAND,DIMAPUR,350101
1312790,73.0,NAGALAND,DIMAPUR,350101
1312791,71.0,NAGALAND,DIMAPUR,350101
1312792,328.0,NAGALAND,DIMAPUR,350101
1312793,354.0,NAGALAND,DIMAPUR,350101
1312794,84.0,NAGALAND,DIMAPUR,350101
1312795,410.0,NAGALAND,DIMAPUR,350101
1312796,321.0,NAGALAND,DIMAPUR,350101
1312797,75.0,NAGALAND,DIMAPUR,350101
1312798,71.0,NAGALAND,DIMAPUR,350101
1312799,393.0,NAGALAND,DIMAPUR,350101
1312800,111.0,NAGALAND,DIMAPUR,350101
1312801,91.0,NAGALAND,DIMAPUR,350101
1312802,166.0,NAGALAND,DIMAPUR,350101
1312803,221.0,NAGALAND,DIMAPUR,350101
1312804,39.0,NAGALAND,DIMAPUR,350101
1312805,337.0,NAGALAND,DIMAPUR,350101
1312806,109.0,NAGALAND,DIMAPUR,350101
1312807,115.0,NAGALAND,DIMAPUR,350101
1312808,135.0,NAGALAND,DIMAPUR,350101
1312809,66.0,NAGALAND,DIMAPUR,350101
1312810,182.0,NAGALAND,DIMAPUR,350101
1312811,110.0,NAGALAND,DIMAPUR,350101
1312812,110.0,NAGALAND,DIMAPUR,350101
1312813,249.0,NAGALAND,DIMAPUR,350101
1312814,125.0,NAGALAND,DIMAPUR,350101
1312815,269.0,NAGALAND,DIMAPUR,350101
1312816,245.0,NAGALAND,DIMAPUR,350101
1312817,144.0,NAGALAND,DIMAPUR,350101
1312818,88.0,NAGALAND,DIMAPUR,350101
1312819,65.0,NAGALAND,DIMAPUR,350101
1312820,87.0,NAGALAND,DIMAPUR,350101
1312821,344.0,NAGALAND,DIMAPUR,350101
1312822,137.0,NAGALAND,DIMAPUR,350101
1312823,337.0,NAGALAND,DIMAPUR,350101
1312824,211.0,NAGALAND,DIMAPUR,350101
1312825,78.0,NAGALAND,DIMAPUR,350101
1312826,49.0,NAGALAND,DIMAPUR,350101
1312827,107.0,NAGALAND,DIMAPUR,350101
1312828,370.0,NAGALAND,DIMAPUR,350101
1312829,154.0,NAGALAND,DIMAPUR,350101
1312830,167.0,NAGALAND,DIMAPUR,350101
1312831,128.0,NAGALAND,DIMAPUR,350101
1312832,110.0,NAGALAND,DIMAPUR,350101
1312833,153.0,NAGALAND,DIMAPUR,350101
1312834,438.0,NAGALAND,DIMAPUR,350101
1312835,429.0,NAGALAND,DIMAPUR,350101
1312836,541.0,NAGALAND,DIMAPUR,350101
1312837,157.0,NAGALAND,DIMAPUR,350101
1312838,44.0,NAGALAND,DIMAPUR,350101
1312839,134.0,NAGALAND,DIMAPUR,350101
1312840,234.0,NAGALAND,DIMAPUR,350101
1312841,77.0,NAGALAND,DIMAPUR,350101
1312842,267.0,NAGALAND,DIMAPUR,350101
1312843,206.0,NAGALAND,DIMAPUR,350101
1312844,95.0,NAGALAND,DIMAPUR,350101
1312845,87.0,NAGALAND,DIMAPUR,350101
1312846,391.0,NAGALAND,DIMAPUR,350101
1312847,120.0,NAGALAND,DIMAPUR,350101
1312848,155.0,NAGALAND,DIMAPUR,350101
1312849,173.0,NAGALAND,DIMAPUR,350101
1312850,70.0,NAGALAND,DIMAPUR,350101
1312851,366.0,NAGALAND,DIMAPUR,350101
1312852,362.0,NAGALAND,DIMAPUR,350101
1312853,240.0,NAGALAND,DIMAPUR,350101
1312854,69.0,NAGALAND,DIMAPUR,350101
1312855,175.0,NAGALAND,DIMAPUR,350101
1312856,82.0,NAGALAND,DIMAPUR,350101
1312857,173.0,NAGALAND,DIMAPUR,350101
1312858,97.0,NAGALAND,DIMAPUR,350101
1312859,132.0,NAGALAND,DIMAPUR,350101
1312860,172.0,NAGALAND,DIMAPUR,350101
1312861,117.0,NAGALAND,DIMAPUR,350101
1312862,50.0,NAGALAND,DIMAPUR,350101
1312863,97.0,NAGALAND,DIMAPUR,350101
1312864,15.0,NAGALAND,DIMAPUR,350101
1312865,86.0,NAGALAND,DIMAPUR,350101
1312866,58.0,NAGALAND,DIMAPUR,350101
1312867,282.0,NAGALAND,DIMAPUR,350101
1312868,83.0,NAGALAND,DIMAPUR,350101
1312869,110.0,NAGALAND,DIMAPUR,350101
1312870,218.0,NAGALAND,DIMAPUR,350101
1312871,195.0,NAGALAND,DIMAPUR,350101
1312872,329.0,NAGALAND,DIMAPUR,350101
1312873,410.0,NAGALAND,DIMAPUR,350101
1312874,66.0,NAGALAND,DIMAPUR,350101
1312875,133.0,NAGALAND,DIMAPUR,350101
1312876,362.0,NAGALAND,DIMAPUR,350101
1312877,268.0,NAGALAND,DIMAPUR,350101
1312878,117.0,NAGALAND,DIMAPUR,350101
1312879,258.0,NAGALAND,DIMAPUR,350101
1312880,112.0,NAGALAND,DIMAPUR,350101
1312881,253.0,NAGALAND,DIMAPUR,350101
1312882,86.0,NAGALAND,DIMAPUR,350101
1312883,145.0,NAGALAND,DIMAPUR,350101
1312884,49.0,NAGALAND,DIMAPUR,350101
1312885,161.0,NAGALAND,DIMAPUR,350101
1312886,69.0,NAGALAND,DIMAPUR,350101
1312887,184.0,NAGALAND,DIMAPUR,350101
1312888,248.0,NAGALAND,DIMAPUR,350101
1312889,237.0,NAGALAND,DIMAPUR,350101
1312890,112.0,NAGALAND,DIMAPUR,350101
1312891,69.0,NAGALAND,DIMAPUR,350101
1312892,435.0,NAGALAND,DIMAPUR,350101
1312893,55.0,NAGALAND,DIMAPUR,350101
1312894,259.0,NAGALAND,DIMAPUR,350101
1312895,173.0,NAGALAND,DIMAPUR,350101
1312896,300.0,NAGALAND,DIMAPUR,350101
1312897,152.0,NAGALAND,DIMAPUR,350101
1312898,231.0,NAGALAND,DIMAPUR,350101
1312899,142.0,NAGALAND,DIMAPUR,350101
1312900,82.0,NAGALAND,DIMAPUR,350101
1312901,80.0,NAGALAND,DIMAPUR,350101
1312902,115.0,NAGALAND,DIMAPUR,350101
1312903,71.0,NAGALAND,DIMAPUR,350101
1312904,62.0,NAGALAND,DIMAPUR,350101
1312905,139.0,NAGALAND,DIMAPUR,350101
1312906,48.0,NAGALAND,DIMAPUR,350101
1312907,503.0,NAGALAND,DIMAPUR,350101
1312908,593.0,NAGALAND,DIMAPUR,350101
1312909,129.0,NAGALAND,DIMAPUR,350101
1312910,199.0,NAGALAND,DIMAPUR,350101
1312911,89.0,NAGALAND,DIMAPUR,350101
1312912,187.0,NAGALAND,DIMAPUR,350101
1312913,375.0,NAGALAND,DIMAPUR,350101
1312914,149.0,NAGALAND,DIMAPUR,350101
1312915,39.0,NAGALAND,DIMAPUR,350101
