,Marks,State,City,Center Code
2310697,245.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310698,73.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310699,339.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310700,66.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310701,342.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310702,202.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310703,252.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310704,110.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310705,269.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310706,220.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310707,122.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310708,222.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310709,105.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310710,630.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310711,353.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310712,578.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310713,130.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310714,121.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310715,334.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310716,156.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310717,210.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310718,215.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310719,210.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310720,173.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310721,105.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310722,575.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310723,190.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310724,232.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310725,472.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310726,104.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310727,270.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310728,199.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310729,534.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310730,233.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310731,208.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310732,312.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310733,445.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310734,278.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310735,97.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310736,130.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310737,184.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310738,220.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310739,113.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310740,464.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310741,421.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310742,420.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310743,101.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310744,472.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310745,322.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310746,179.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310747,210.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310748,281.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310749,333.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310750,127.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310751,431.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310752,229.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310753,129.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310754,200.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310755,312.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310756,48.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310757,84.0,OUTSIDE-INDIA,KUWAIT CITY,990101
2310758,202.0,OUTSIDE-INDIA,KUWAIT CITY,990101
