,Marks,State,City,Center Code
1386068,111.0,PUNJAB,AMRITSAR,380101
1386069,73.0,PUNJAB,AMRITSAR,380101
1386070,148.0,PUNJAB,AMRITSAR,380101
1386071,705.0,PUNJAB,AMRITSAR,380101
1386072,225.0,PUNJAB,AMRITSAR,380101
1386073,235.0,PUNJAB,AMRITSAR,380101
1386074,334.0,PUNJAB,AMRITSAR,380101
1386075,548.0,PUNJAB,AMRITSAR,380101
1386076,90.0,PUNJAB,AMRITSAR,380101
1386077,311.0,PUNJAB,AMRITSAR,380101
1386078,55.0,PUNJAB,AMRITSAR,380101
1386079,109.0,PUNJAB,AMRITSAR,380101
1386080,608.0,PUNJAB,AMRITSAR,380101
1386081,294.0,PUNJAB,AMRITSAR,380101
1386082,324.0,PUNJAB,AMRITSAR,380101
1386083,64.0,PUNJAB,AMRITSAR,380101
1386084,417.0,PUNJAB,AMRITSAR,380101
1386085,189.0,PUNJAB,AMRITSAR,380101
1386086,205.0,PUNJAB,AMRITSAR,380101
1386087,42.0,PUNJAB,AMRITSAR,380101
1386088,105.0,PUNJAB,AMRITSAR,380101
1386089,234.0,PUNJAB,AMRITSAR,380101
1386090,70.0,PUNJAB,AMRITSAR,380101
1386091,61.0,PUNJAB,AMRITSAR,380101
1386092,471.0,PUNJAB,AMRITSAR,380101
1386093,133.0,PUNJAB,AMRITSAR,380101
1386094,74.0,PUNJAB,AMRITSAR,380101
1386095,216.0,PUNJAB,AMRITSAR,380101
1386096,85.0,PUNJAB,AMRITSAR,380101
1386097,95.0,PUNJAB,AMRITSAR,380101
1386098,174.0,PUNJAB,AMRITSAR,380101
1386099,269.0,PUNJAB,AMRITSAR,380101
1386100,190.0,PUNJAB,AMRITSAR,380101
1386101,320.0,PUNJAB,AMRITSAR,380101
1386102,302.0,PUNJAB,AMRITSAR,380101
1386103,702.0,PUNJAB,AMRITSAR,380101
1386104,63.0,PUNJAB,AMRITSAR,380101
1386105,424.0,PUNJAB,AMRITSAR,380101
1386106,651.0,PUNJAB,AMRITSAR,380101
1386107,90.0,PUNJAB,AMRITSAR,380101
1386108,132.0,PUNJAB,AMRITSAR,380101
1386109,202.0,PUNJAB,AMRITSAR,380101
1386110,315.0,PUNJAB,AMRITSAR,380101
1386111,152.0,PUNJAB,AMRITSAR,380101
1386112,225.0,PUNJAB,AMRITSAR,380101
1386113,55.0,PUNJAB,AMRITSAR,380101
1386114,162.0,PUNJAB,AMRITSAR,380101
1386115,193.0,PUNJAB,AMRITSAR,380101
1386116,219.0,PUNJAB,AMRITSAR,380101
1386117,230.0,PUNJAB,AMRITSAR,380101
1386118,544.0,PUNJAB,AMRITSAR,380101
1386119,69.0,PUNJAB,AMRITSAR,380101
1386120,190.0,PUNJAB,AMRITSAR,380101
1386121,63.0,PUNJAB,AMRITSAR,380101
1386122,469.0,PUNJAB,AMRITSAR,380101
1386123,374.0,PUNJAB,AMRITSAR,380101
1386124,133.0,PUNJAB,AMRITSAR,380101
1386125,297.0,PUNJAB,AMRITSAR,380101
1386126,101.0,PUNJAB,AMRITSAR,380101
1386127,356.0,PUNJAB,AMRITSAR,380101
1386128,81.0,PUNJAB,AMRITSAR,380101
1386129,167.0,PUNJAB,AMRITSAR,380101
1386130,211.0,PUNJAB,AMRITSAR,380101
1386131,92.0,PUNJAB,AMRITSAR,380101
1386132,263.0,PUNJAB,AMRITSAR,380101
1386133,58.0,PUNJAB,AMRITSAR,380101
1386134,673.0,PUNJAB,AMRITSAR,380101
1386135,308.0,PUNJAB,AMRITSAR,380101
1386136,95.0,PUNJAB,AMRITSAR,380101
1386137,247.0,PUNJAB,AMRITSAR,380101
1386138,144.0,PUNJAB,AMRITSAR,380101
1386139,70.0,PUNJAB,AMRITSAR,380101
1386140,43.0,PUNJAB,AMRITSAR,380101
1386141,95.0,PUNJAB,AMRITSAR,380101
1386142,415.0,PUNJAB,AMRITSAR,380101
1386143,261.0,PUNJAB,AMRITSAR,380101
1386144,246.0,PUNJAB,AMRITSAR,380101
1386145,607.0,PUNJAB,AMRITSAR,380101
1386146,2.0,PUNJAB,AMRITSAR,380101
1386147,124.0,PUNJAB,AMRITSAR,380101
1386148,202.0,PUNJAB,AMRITSAR,380101
1386149,324.0,PUNJAB,AMRITSAR,380101
1386150,273.0,PUNJAB,AMRITSAR,380101
1386151,326.0,PUNJAB,AMRITSAR,380101
1386152,52.0,PUNJAB,AMRITSAR,380101
1386153,358.0,PUNJAB,AMRITSAR,380101
1386154,555.0,PUNJAB,AMRITSAR,380101
1386155,222.0,PUNJAB,AMRITSAR,380101
1386156,44.0,PUNJAB,AMRITSAR,380101
1386157,115.0,PUNJAB,AMRITSAR,380101
1386158,125.0,PUNJAB,AMRITSAR,380101
1386159,108.0,PUNJAB,AMRITSAR,380101
1386160,279.0,PUNJAB,AMRITSAR,380101
1386161,109.0,PUNJAB,AMRITSAR,380101
1386162,339.0,PUNJAB,AMRITSAR,380101
1386163,31.0,PUNJAB,AMRITSAR,380101
1386164,140.0,PUNJAB,AMRITSAR,380101
1386165,41.0,PUNJAB,AMRITSAR,380101
1386166,401.0,PUNJAB,AMRITSAR,380101
1386167,450.0,PUNJAB,AMRITSAR,380101
1386168,52.0,PUNJAB,AMRITSAR,380101
1386169,238.0,PUNJAB,AMRITSAR,380101
1386170,145.0,PUNJAB,AMRITSAR,380101
1386171,84.0,PUNJAB,AMRITSAR,380101
1386172,352.0,PUNJAB,AMRITSAR,380101
1386173,417.0,PUNJAB,AMRITSAR,380101
1386174,121.0,PUNJAB,AMRITSAR,380101
1386175,210.0,PUNJAB,AMRITSAR,380101
1386176,325.0,PUNJAB,AMRITSAR,380101
1386177,164.0,PUNJAB,AMRITSAR,380101
1386178,103.0,PUNJAB,AMRITSAR,380101
1386179,618.0,PUNJAB,AMRITSAR,380101
1386180,65.0,PUNJAB,AMRITSAR,380101
1386181,515.0,PUNJAB,AMRITSAR,380101
1386182,559.0,PUNJAB,AMRITSAR,380101
1386183,151.0,PUNJAB,AMRITSAR,380101
1386184,141.0,PUNJAB,AMRITSAR,380101
1386185,105.0,PUNJAB,AMRITSAR,380101
1386186,524.0,PUNJAB,AMRITSAR,380101
1386187,371.0,PUNJAB,AMRITSAR,380101
1386188,45.0,PUNJAB,AMRITSAR,380101
1386189,44.0,PUNJAB,AMRITSAR,380101
1386190,228.0,PUNJAB,AMRITSAR,380101
1386191,452.0,PUNJAB,AMRITSAR,380101
1386192,50.0,PUNJAB,AMRITSAR,380101
1386193,226.0,PUNJAB,AMRITSAR,380101
1386194,45.0,PUNJAB,AMRITSAR,380101
1386195,206.0,PUNJAB,AMRITSAR,380101
1386196,210.0,PUNJAB,AMRITSAR,380101
1386197,375.0,PUNJAB,AMRITSAR,380101
1386198,131.0,PUNJAB,AMRITSAR,380101
1386199,210.0,PUNJAB,AMRITSAR,380101
1386200,43.0,PUNJAB,AMRITSAR,380101
1386201,59.0,PUNJAB,AMRITSAR,380101
1386202,186.0,PUNJAB,AMRITSAR,380101
1386203,369.0,PUNJAB,AMRITSAR,380101
1386204,71.0,PUNJAB,AMRITSAR,380101
1386205,182.0,PUNJAB,AMRITSAR,380101
1386206,220.0,PUNJAB,AMRITSAR,380101
1386207,195.0,PUNJAB,AMRITSAR,380101
1386208,127.0,PUNJAB,AMRITSAR,380101
1386209,323.0,PUNJAB,AMRITSAR,380101
1386210,276.0,PUNJAB,AMRITSAR,380101
1386211,90.0,PUNJAB,AMRITSAR,380101
1386212,120.0,PUNJAB,AMRITSAR,380101
1386213,70.0,PUNJAB,AMRITSAR,380101
1386214,280.0,PUNJAB,AMRITSAR,380101
