,Marks,State,City,Center Code
1603817,228.0,SIKKIM,GANGTOK,400101
1603818,235.0,SIKKIM,GANGTOK,400101
1603819,264.0,SIKKIM,GANGTOK,400101
1603820,110.0,SIKKIM,GANGTOK,400101
1603821,77.0,SIKKIM,GANGTOK,400101
1603822,83.0,SIKKIM,GANGTOK,400101
1603823,247.0,SIKKIM,GANGTOK,400101
1603824,-103.0,SIKKIM,GANGTOK,400101
1603825,236.0,SIKKIM,GANGTOK,400101
1603826,229.0,SIKKIM,GANGTOK,400101
1603827,151.0,SIKKIM,GANGTOK,400101
1603828,441.0,SIKKIM,GANGTOK,400101
1603829,106.0,SIKKIM,GANGTOK,400101
1603830,179.0,SIKKIM,GANGTOK,400101
1603831,109.0,SIKKIM,GANGTOK,400101
1603832,141.0,SIKKIM,GANGTOK,400101
1603833,187.0,SIKKIM,GANGTOK,400101
1603834,74.0,SIKKIM,GANGTOK,400101
1603835,115.0,SIKKIM,GANGTOK,400101
1603836,86.0,SIKKIM,GANGTOK,400101
1603837,110.0,SIKKIM,GANGTOK,400101
1603838,100.0,SIKKIM,GANGTOK,400101
1603839,132.0,SIKKIM,GANGTOK,400101
1603840,110.0,SIKKIM,GANGTOK,400101
1603841,163.0,SIKKIM,GANGTOK,400101
1603842,189.0,SIKKIM,GANGTOK,400101
1603843,510.0,SIKKIM,GANGTOK,400101
1603844,119.0,SIKKIM,GANGTOK,400101
1603845,210.0,SIKKIM,GANGTOK,400101
1603846,83.0,SIKKIM,GANGTOK,400101
1603847,172.0,SIKKIM,GANGTOK,400101
1603848,74.0,SIKKIM,GANGTOK,400101
1603849,273.0,SIKKIM,GANGTOK,400101
1603850,135.0,SIKKIM,GANGTOK,400101
1603851,211.0,SIKKIM,GANGTOK,400101
1603852,84.0,SIKKIM,GANGTOK,400101
1603853,122.0,SIKKIM,GANGTOK,400101
1603854,91.0,SIKKIM,GANGTOK,400101
1603855,319.0,SIKKIM,GANGTOK,400101
1603856,199.0,SIKKIM,GANGTOK,400101
1603857,352.0,SIKKIM,GANGTOK,400101
1603858,635.0,SIKKIM,GANGTOK,400101
1603859,306.0,SIKKIM,GANGTOK,400101
1603860,168.0,SIKKIM,GANGTOK,400101
1603861,43.0,SIKKIM,GANGTOK,400101
1603862,79.0,SIKKIM,GANGTOK,400101
1603863,126.0,SIKKIM,GANGTOK,400101
1603864,126.0,SIKKIM,GANGTOK,400101
1603865,118.0,SIKKIM,GANGTOK,400101
1603866,67.0,SIKKIM,GANGTOK,400101
1603867,132.0,SIKKIM,GANGTOK,400101
1603868,67.0,SIKKIM,GANGTOK,400101
1603869,170.0,SIKKIM,GANGTOK,400101
1603870,72.0,SIKKIM,GANGTOK,400101
1603871,-98.0,SIKKIM,GANGTOK,400101
1603872,140.0,SIKKIM,GANGTOK,400101
1603873,28.0,SIKKIM,GANGTOK,400101
1603874,75.0,SIKKIM,GANGTOK,400101
1603875,464.0,SIKKIM,GANGTOK,400101
1603876,322.0,SIKKIM,GANGTOK,400101
1603877,55.0,SIKKIM,GANGTOK,400101
1603878,155.0,SIKKIM,GANGTOK,400101
1603879,173.0,SIKKIM,GANGTOK,400101
1603880,99.0,SIKKIM,GANGTOK,400101
1603881,259.0,SIKKIM,GANGTOK,400101
1603882,75.0,SIKKIM,GANGTOK,400101
1603883,100.0,SIKKIM,GANGTOK,400101
1603884,300.0,SIKKIM,GANGTOK,400101
1603885,127.0,SIKKIM,GANGTOK,400101
1603886,-10.0,SIKKIM,GANGTOK,400101
1603887,189.0,SIKKIM,GANGTOK,400101
1603888,72.0,SIKKIM,GANGTOK,400101
1603889,35.0,SIKKIM,GANGTOK,400101
1603890,132.0,SIKKIM,GANGTOK,400101
1603891,82.0,SIKKIM,GANGTOK,400101
1603892,510.0,SIKKIM,GANGTOK,400101
1603893,65.0,SIKKIM,GANGTOK,400101
1603894,45.0,SIKKIM,GANGTOK,400101
1603895,100.0,SIKKIM,GANGTOK,400101
1603896,349.0,SIKKIM,GANGTOK,400101
1603897,135.0,SIKKIM,GANGTOK,400101
1603898,207.0,SIKKIM,GANGTOK,400101
1603899,287.0,SIKKIM,GANGTOK,400101
1603900,100.0,SIKKIM,GANGTOK,400101
1603901,326.0,SIKKIM,GANGTOK,400101
1603902,307.0,SIKKIM,GANGTOK,400101
1603903,419.0,SIKKIM,GANGTOK,400101
1603904,124.0,SIKKIM,GANGTOK,400101
1603905,166.0,SIKKIM,GANGTOK,400101
1603906,126.0,SIKKIM,GANGTOK,400101
1603907,16.0,SIKKIM,GANGTOK,400101
1603908,151.0,SIKKIM,GANGTOK,400101
1603909,377.0,SIKKIM,GANGTOK,400101
1603910,523.0,SIKKIM,GANGTOK,400101
1603911,401.0,SIKKIM,GANGTOK,400101
1603912,62.0,SIKKIM,GANGTOK,400101
1603913,76.0,SIKKIM,GANGTOK,400101
1603914,122.0,SIKKIM,GANGTOK,400101
1603915,487.0,SIKKIM,GANGTOK,400101
1603916,69.0,SIKKIM,GANGTOK,400101
1603917,231.0,SIKKIM,GANGTOK,400101
1603918,80.0,SIKKIM,GANGTOK,400101
1603919,140.0,SIKKIM,GANGTOK,400101
1603920,96.0,SIKKIM,GANGTOK,400101
1603921,160.0,SIKKIM,GANGTOK,400101
1603922,126.0,SIKKIM,GANGTOK,400101
1603923,603.0,SIKKIM,GANGTOK,400101
1603924,253.0,SIKKIM,GANGTOK,400101
1603925,193.0,SIKKIM,GANGTOK,400101
1603926,483.0,SIKKIM,GANGTOK,400101
1603927,103.0,SIKKIM,GANGTOK,400101
1603928,199.0,SIKKIM,GANGTOK,400101
1603929,91.0,SIKKIM,GANGTOK,400101
1603930,83.0,SIKKIM,GANGTOK,400101
1603931,120.0,SIKKIM,GANGTOK,400101
1603932,15.0,SIKKIM,GANGTOK,400101
1603933,155.0,SIKKIM,GANGTOK,400101
1603934,247.0,SIKKIM,GANGTOK,400101
1603935,181.0,SIKKIM,GANGTOK,400101
1603936,130.0,SIKKIM,GANGTOK,400101
1603937,308.0,SIKKIM,GANGTOK,400101
1603938,94.0,SIKKIM,GANGTOK,400101
1603939,426.0,SIKKIM,GANGTOK,400101
1603940,95.0,SIKKIM,GANGTOK,400101
1603941,145.0,SIKKIM,GANGTOK,400101
1603942,212.0,SIKKIM,GANGTOK,400101
1603943,85.0,SIKKIM,GANGTOK,400101
1603944,165.0,SIKKIM,GANGTOK,400101
1603945,45.0,SIKKIM,GANGTOK,400101
1603946,149.0,SIKKIM,GANGTOK,400101
1603947,82.0,SIKKIM,GANGTOK,400101
1603948,101.0,SIKKIM,GANGTOK,400101
1603949,243.0,SIKKIM,GANGTOK,400101
1603950,254.0,SIKKIM,GANGTOK,400101
1603951,97.0,SIKKIM,GANGTOK,400101
1603952,15.0,SIKKIM,GANGTOK,400101
1603953,68.0,SIKKIM,GANGTOK,400101
1603954,212.0,SIKKIM,GANGTOK,400101
1603955,258.0,SIKKIM,GANGTOK,400101
1603956,177.0,SIKKIM,GANGTOK,400101
1603957,125.0,SIKKIM,GANGTOK,400101
1603958,110.0,SIKKIM,GANGTOK,400101
1603959,85.0,SIKKIM,GANGTOK,400101
1603960,80.0,SIKKIM,GANGTOK,400101
1603961,62.0,SIKKIM,GANGTOK,400101
1603962,444.0,SIKKIM,GANGTOK,400101
1603963,75.0,SIKKIM,GANGTOK,400101
1603964,240.0,SIKKIM,GANGTOK,400101
1603965,356.0,SIKKIM,GANGTOK,400101
1603966,71.0,SIKKIM,GANGTOK,400101
1603967,73.0,SIKKIM,GANGTOK,400101
1603968,76.0,SIKKIM,GANGTOK,400101
1603969,113.0,SIKKIM,GANGTOK,400101
1603970,531.0,SIKKIM,GANGTOK,400101
1603971,173.0,SIKKIM,GANGTOK,400101
1603972,407.0,SIKKIM,GANGTOK,400101
1603973,39.0,SIKKIM,GANGTOK,400101
1603974,267.0,SIKKIM,GANGTOK,400101
1603975,104.0,SIKKIM,GANGTOK,400101
1603976,120.0,SIKKIM,GANGTOK,400101
1603977,56.0,SIKKIM,GANGTOK,400101
1603978,371.0,SIKKIM,GANGTOK,400101
1603979,47.0,SIKKIM,GANGTOK,400101
1603980,68.0,SIKKIM,GANGTOK,400101
1603981,148.0,SIKKIM,GANGTOK,400101
1603982,358.0,SIKKIM,GANGTOK,400101
1603983,228.0,SIKKIM,GANGTOK,400101
1603984,85.0,SIKKIM,GANGTOK,400101
1603985,475.0,SIKKIM,GANGTOK,400101
1603986,139.0,SIKKIM,GANGTOK,400101
1603987,70.0,SIKKIM,GANGTOK,400101
1603988,366.0,SIKKIM,GANGTOK,400101
1603989,60.0,SIKKIM,GANGTOK,400101
1603990,192.0,SIKKIM,GANGTOK,400101
1603991,75.0,SIKKIM,GANGTOK,400101
1603992,202.0,SIKKIM,GANGTOK,400101
1603993,85.0,SIKKIM,GANGTOK,400101
1603994,362.0,SIKKIM,GANGTOK,400101
1603995,78.0,SIKKIM,GANGTOK,400101
1603996,41.0,SIKKIM,GANGTOK,400101
1603997,87.0,SIKKIM,GANGTOK,400101
1603998,243.0,SIKKIM,GANGTOK,400101
1603999,373.0,SIKKIM,GANGTOK,400101
1604000,169.0,SIKKIM,GANGTOK,400101
1604001,249.0,SIKKIM,GANGTOK,400101
1604002,211.0,SIKKIM,GANGTOK,400101
1604003,86.0,SIKKIM,GANGTOK,400101
