Row Labels,Count of Marks
-126,1
-70,1
-47,1
-45,1
-40,4
-39,1
-35,1
-32,2
-30,5
-28,1
-27,3
-26,2
-25,3
-24,3
-23,4
-22,2
-21,3
-20,7
-19,5
-18,3
-17,6
-16,7
-15,19
-14,10
-13,10
-12,10
-11,5
-10,26
-9,11
-8,11
-7,12
-6,13
-5,26
-4,24
-3,13
-2,17
-1,23
0,76
1,27
2,25
3,23
4,33
5,74
6,44
7,32
8,47
9,47
10,98
11,50
12,46
13,59
14,54
15,134
16,84
17,79
18,72
19,75
20,168
21,104
22,95
23,92
24,114
25,221
26,119
27,99
28,111
29,95
30,245
31,142
32,155
33,120
34,146
35,282
36,182
37,154
38,150
39,148
40,323
41,198
42,149
43,162
44,189
45,376
46,217
47,193
48,168
49,165
50,421
51,232
52,215
53,210
54,210
55,427
56,215
57,263
58,216
59,195
60,428
61,268
62,266
63,247
64,215
65,453
66,256
67,261
68,231
69,220
70,484
71,293
72,245
73,221
74,264
75,494
76,296
77,241
78,265
79,238
80,467
81,278
82,265
83,244
84,255
85,469
86,286
87,251
88,249
89,269
90,447
91,299
92,212
93,266
94,237
95,416
96,287
97,258
98,204
99,223
100,375
101,229
102,223
103,245
104,217
105,385
106,284
107,235
108,252
109,208
110,398
111,255
112,229
113,241
114,224
115,337
116,255
117,188
118,215
119,213
120,346
121,214
122,189
123,217
124,222
125,343
126,248
127,224
128,206
129,206
130,302
131,210
132,206
133,210
134,196
135,266
136,184
137,192
138,191
139,202
140,275
141,207
142,187
143,176
144,182
145,248
146,201
147,176
148,168
149,180
150,232
151,188
152,185
153,173
154,163
155,218
156,154
157,179
158,180
159,164
160,203
161,177
162,175
163,176
164,136
165,206
166,176
167,175
168,146
169,161
170,227
171,163
172,151
173,151
174,146
175,186
176,149
177,144
178,161
179,141
180,198
181,157
182,163
183,139
184,162
185,207
186,141
187,127
188,144
189,148
190,156
191,157
192,146
193,148
194,128
195,186
196,127
197,135
198,127
199,153
200,157
201,139
202,121
203,133
204,139
205,165
206,127
207,126
208,146
209,127
210,154
211,131
212,148
213,131
214,141
215,161
216,125
217,135
218,129
219,126
220,154
221,117
222,125
223,122
224,121
225,173
226,118
227,123
228,132
229,117
230,152
231,143
232,112
233,137
234,149
235,151
236,112
237,124
238,123
239,124
240,133
241,133
242,113
243,124
244,149
245,131
246,120
247,134
248,116
249,123
250,126
251,148
252,131
253,123
254,120
255,135
256,129
257,145
258,113
259,118
260,107
261,131
262,107
263,145
264,129
265,136
266,131
267,122
268,118
269,113
270,114
271,116
272,123
273,116
274,132
275,120
276,113
277,130
278,113
279,118
280,118
281,116
282,107
283,107
284,129
285,119
286,133
287,104
288,102
289,112
290,129
291,123
292,115
293,122
294,115
295,125
296,106
297,120
298,138
299,127
300,114
301,135
302,112
303,116
304,112
305,127
306,119
307,107
308,112
309,122
310,136
311,113
312,113
313,99
314,116
315,124
316,121
317,108
318,111
319,111
320,129
321,118
322,116
323,110
324,124
325,118
326,109
327,115
328,130
329,107
330,106
331,99
332,117
333,102
334,104
335,112
336,117
337,109
338,104
339,114
340,131
341,107
342,113
343,100
344,116
345,123
346,122
347,124
348,113
349,102
350,120
351,103
352,108
353,131
354,114
355,113
356,115
357,111
358,103
359,120
360,131
361,101
362,89
363,105
364,102
365,122
366,98
367,97
368,112
369,96
370,123
371,120
372,114
373,112
374,103
375,109
376,111
377,101
378,119
379,92
380,117
381,96
382,87
383,103
384,81
385,88
386,92
387,101
388,105
389,92
390,120
391,92
392,79
393,112
394,109
395,90
396,98
397,100
398,98
399,91
400,117
401,97
402,87
403,102
404,92
405,112
406,102
407,107
408,120
409,102
410,89
411,78
412,97
413,90
414,91
415,87
416,89
417,94
418,82
419,98
420,84
421,83
422,88
423,95
424,86
425,97
426,88
427,92
428,75
429,91
430,91
431,83
432,101
433,86
434,107
435,92
436,72
437,74
438,89
439,95
440,65
441,98
442,88
443,81
444,80
445,79
446,83
447,80
448,85
449,78
450,72
451,84
452,63
453,80
454,74
455,77
456,77
457,77
458,96
459,83
460,74
461,60
462,70
463,67
464,81
465,75
466,86
467,67
468,66
469,80
470,65
471,61
472,60
473,78
474,56
475,74
476,78
477,82
478,51
479,51
480,51
481,64
482,61
483,63
484,66
485,62
486,60
487,67
488,80
489,49
490,60
491,47
492,55
493,60
494,53
495,47
496,57
497,44
498,63
499,56
500,54
501,50
502,57
503,52
504,44
505,64
506,31
507,46
508,55
509,42
510,56
511,55
512,49
513,52
514,42
515,45
