,Marks,State,City,Center Code
1835106,239.0,TRIPURA,AGARTALA,430101
1835107,4.0,TRIPURA,AGARTALA,430101
1835108,28.0,TRIPURA,AGARTALA,430101
1835109,72.0,TRIPURA,AGARTALA,430101
1835110,330.0,TRIPURA,AGARTALA,430101
1835111,293.0,TRIPURA,AGARTALA,430101
1835112,430.0,TRIPURA,AGARTALA,430101
1835113,157.0,TRIPURA,AGARTALA,430101
1835114,45.0,TRIPURA,AGARTALA,430101
1835115,67.0,TRIPURA,AGARTALA,430101
1835116,224.0,TRIPURA,AGARTALA,430101
1835117,340.0,TRIPURA,AGARTALA,430101
1835118,122.0,TRIPURA,AGARTALA,430101
1835119,268.0,TRIPURA,AGARTALA,430101
1835120,122.0,TRIPURA,AGARTALA,430101
1835121,60.0,TRIPURA,AGARTALA,430101
1835122,118.0,TRIPURA,AGARTALA,430101
1835123,158.0,TRIPURA,AGARTALA,430101
1835124,492.0,TRIPURA,AGARTALA,430101
1835125,369.0,TRIPURA,AGARTALA,430101
1835126,20.0,TRIPURA,AGARTALA,430101
1835127,90.0,TRIPURA,AGARTALA,430101
1835128,135.0,TRIPURA,AGARTALA,430101
1835129,44.0,TRIPURA,AGARTALA,430101
1835130,591.0,TRIPURA,AGARTALA,430101
1835131,142.0,TRIPURA,AGARTALA,430101
1835132,89.0,TRIPURA,AGARTALA,430101
1835133,345.0,TRIPURA,AGARTALA,430101
1835134,380.0,TRIPURA,AGARTALA,430101
1835135,168.0,TRIPURA,AGARTALA,430101
1835136,92.0,TRIPURA,AGARTALA,430101
1835137,429.0,TRIPURA,AGARTALA,430101
1835138,105.0,TRIPURA,AGARTALA,430101
1835139,168.0,TRIPURA,AGARTALA,430101
1835140,218.0,TRIPURA,AGARTALA,430101
1835141,599.0,TRIPURA,AGARTALA,430101
1835142,469.0,TRIPURA,AGARTALA,430101
1835143,262.0,TRIPURA,AGARTALA,430101
1835144,33.0,TRIPURA,AGARTALA,430101
1835145,32.0,TRIPURA,AGARTALA,430101
