,Marks,State,City,Center Code
2171664,561.0,UTTARAKHAND,DEHRADUN,450101
2171665,364.0,UTTARAKHAND,DEHRADUN,450101
2171666,85.0,UTTARAKHAND,DEHRADUN,450101
2171667,259.0,UTTARAKHAND,DEHRADUN,450101
2171668,84.0,UTTARAKHAND,DEHRADUN,450101
2171669,111.0,UTTARAKHAND,DEHRADUN,450101
2171670,186.0,UTTARAKHAND,DEHRADUN,450101
2171671,364.0,UTTARAKHAND,DEHRADUN,450101
2171672,250.0,UTTARAKHAND,DEHRADUN,450101
2171673,225.0,UTTARAKHAND,DEHRADUN,450101
2171674,50.0,UTTARAKHAND,DEHRADUN,450101
2171675,265.0,UTTARAKHAND,DEHRADUN,450101
2171676,218.0,UTTARAKHAND,DEHRADUN,450101
2171677,558.0,UTTARAKHAND,DEHRADUN,450101
2171678,187.0,UTTARAKHAND,DEHRADUN,450101
2171679,207.0,UTTARAKHAND,DEHRADUN,450101
2171680,508.0,UTTARAKHAND,DEHRADUN,450101
2171681,347.0,UTTARAKHAND,DEHRADUN,450101
2171682,88.0,UTTARAKHAND,DEHRADUN,450101
2171683,97.0,UTTARAKHAND,DEHRADUN,450101
2171684,26.0,UTTARAKHAND,DEHRADUN,450101
2171685,124.0,UTTARAKHAND,DEHRADUN,450101
2171686,626.0,UTTARAKHAND,DEHRADUN,450101
2171687,233.0,UTTARAKHAND,DEHRADUN,450101
2171688,63.0,UTTARAKHAND,DEHRADUN,450101
2171689,135.0,UTTARAKHAND,DEHRADUN,450101
2171690,117.0,UTTARAKHAND,DEHRADUN,450101
2171691,175.0,UTTARAKHAND,DEHRADUN,450101
2171692,152.0,UTTARAKHAND,DEHRADUN,450101
2171693,70.0,UTTARAKHAND,DEHRADUN,450101
2171694,135.0,UTTARAKHAND,DEHRADUN,450101
2171695,151.0,UTTARAKHAND,DEHRADUN,450101
2171696,167.0,UTTARAKHAND,DEHRADUN,450101
2171697,438.0,UTTARAKHAND,DEHRADUN,450101
2171698,30.0,UTTARAKHAND,DEHRADUN,450101
2171699,511.0,UTTARAKHAND,DEHRADUN,450101
2171700,499.0,UTTARAKHAND,DEHRADUN,450101
2171701,160.0,UTTARAKHAND,DEHRADUN,450101
2171702,155.0,UTTARAKHAND,DEHRADUN,450101
2171703,153.0,UTTARAKHAND,DEHRADUN,450101
2171704,499.0,UTTARAKHAND,DEHRADUN,450101
2171705,115.0,UTTARAKHAND,DEHRADUN,450101
2171706,456.0,UTTARAKHAND,DEHRADUN,450101
2171707,168.0,UTTARAKHAND,DEHRADUN,450101
2171708,196.0,UTTARAKHAND,DEHRADUN,450101
2171709,499.0,UTTARAKHAND,DEHRADUN,450101
2171710,106.0,UTTARAKHAND,DEHRADUN,450101
2171711,98.0,UTTARAKHAND,DEHRADUN,450101
2171712,319.0,UTTARAKHAND,DEHRADUN,450101
2171713,261.0,UTTARAKHAND,DEHRADUN,450101
2171714,176.0,UTTARAKHAND,DEHRADUN,450101
2171715,447.0,UTTARAKHAND,DEHRADUN,450101
2171716,232.0,UTTARAKHAND,DEHRADUN,450101
2171717,364.0,UTTARAKHAND,DEHRADUN,450101
2171718,139.0,UTTARAKHAND,DEHRADUN,450101
2171719,684.0,UTTARAKHAND,DEHRADUN,450101
2171720,249.0,UTTARAKHAND,DEHRADUN,450101
2171721,222.0,UTTARAKHAND,DEHRADUN,450101
2171722,54.0,UTTARAKHAND,DEHRADUN,450101
2171723,153.0,UTTARAKHAND,DEHRADUN,450101
2171724,277.0,UTTARAKHAND,DEHRADUN,450101
2171725,648.0,UTTARAKHAND,DEHRADUN,450101
2171726,125.0,UTTARAKHAND,DEHRADUN,450101
2171727,297.0,UTTARAKHAND,DEHRADUN,450101
2171728,209.0,UTTARAKHAND,DEHRADUN,450101
2171729,343.0,UTTARAKHAND,DEHRADUN,450101
2171730,611.0,UTTARAKHAND,DEHRADUN,450101
2171731,245.0,UTTARAKHAND,DEHRADUN,450101
2171732,428.0,UTTARAKHAND,DEHRADUN,450101
2171733,117.0,UTTARAKHAND,DEHRADUN,450101
2171734,38.0,UTTARAKHAND,DEHRADUN,450101
2171735,151.0,UTTARAKHAND,DEHRADUN,450101
2171736,25.0,UTTARAKHAND,DEHRADUN,450101
2171737,359.0,UTTARAKHAND,DEHRADUN,450101
2171738,69.0,UTTARAKHAND,DEHRADUN,450101
2171739,546.0,UTTARAKHAND,DEHRADUN,450101
2171740,601.0,UTTARAKHAND,DEHRADUN,450101
2171741,85.0,UTTARAKHAND,DEHRADUN,450101
2171742,519.0,UTTARAKHAND,DEHRADUN,450101
2171743,471.0,UTTARAKHAND,DEHRADUN,450101
2171744,582.0,UTTARAKHAND,DEHRADUN,450101
2171745,266.0,UTTARAKHAND,DEHRADUN,450101
2171746,201.0,UTTARAKHAND,DEHRADUN,450101
2171747,220.0,UTTARAKHAND,DEHRADUN,450101
2171748,336.0,UTTARAKHAND,DEHRADUN,450101
2171749,8.0,UTTARAKHAND,DEHRADUN,450101
2171750,83.0,UTTARAKHAND,DEHRADUN,450101
2171751,82.0,UTTARAKHAND,DEHRADUN,450101
2171752,107.0,UTTARAKHAND,DEHRADUN,450101
2171753,77.0,UTTARAKHAND,DEHRADUN,450101
2171754,601.0,UTTARAKHAND,DEHRADUN,450101
2171755,80.0,UTTARAKHAND,DEHRADUN,450101
2171756,73.0,UTTARAKHAND,DEHRADUN,450101
2171757,68.0,UTTARAKHAND,DEHRADUN,450101
2171758,566.0,UTTARAKHAND,DEHRADUN,450101
2171759,152.0,UTTARAKHAND,DEHRADUN,450101
2171760,126.0,UTTARAKHAND,DEHRADUN,450101
2171761,564.0,UTTARAKHAND,DEHRADUN,450101
2171762,114.0,UTTARAKHAND,DEHRADUN,450101
2171763,202.0,UTTARAKHAND,DEHRADUN,450101
2171764,142.0,UTTARAKHAND,DEHRADUN,450101
2171765,267.0,UTTARAKHAND,DEHRADUN,450101
2171766,167.0,UTTARAKHAND,DEHRADUN,450101
2171767,91.0,UTTARAKHAND,DEHRADUN,450101
2171768,271.0,UTTARAKHAND,DEHRADUN,450101
2171769,497.0,UTTARAKHAND,DEHRADUN,450101
2171770,188.0,UTTARAKHAND,DEHRADUN,450101
2171771,326.0,UTTARAKHAND,DEHRADUN,450101
2171772,281.0,UTTARAKHAND,DEHRADUN,450101
2171773,186.0,UTTARAKHAND,DEHRADUN,450101
2171774,357.0,UTTARAKHAND,DEHRADUN,450101
2171775,486.0,UTTARAKHAND,DEHRADUN,450101
2171776,196.0,UTTARAKHAND,DEHRADUN,450101
2171777,53.0,UTTARAKHAND,DEHRADUN,450101
